16:59:25 (00:00:10) (chat)  svh_kalmar: BSUFlick
17:44:05 (00:44:49) (chat)  AlmightyPuding: @BlackUFA Ты будешь кооп с темой в этой игре?
17:44:07 (00:44:51) (chat)  Xaste1: А можно без грузов их датчики убрать?
17:44:07 (00:44:51) (chat)  Am1gdala: а
17:44:08 (00:44:52) (chat)  melloLondon: ? hm
17:44:10 (00:44:54) (chat)  nagarashi_aino: Она не обязана быть идеальной если нравится)
17:44:11 (00:44:55) (chat)  mrakobes888: чичичи
17:44:14 (00:44:58) (chat)  cherrydwenn: а что за провода в небе?
17:44:15 (00:45:00) (chat)  TJwestside: что я нипонял SMOrc
17:44:16 (00:45:00) (chat)  VV_merc: а где музыка?
17:44:19 (00:45:03) (chat)  felur1an: А почему в мире есть трава а нет кустов деревьев? Вчем идея?
17:44:20 (00:45:04) (chat)  jolintropitantos: мне тоже нравица SMOrc
17:44:20 (00:45:04) (chat)  bes_iz_novo: Только подошел, что пропустил? Всем привет)
17:44:20 (00:45:05) (chat)  mamaybarmaley5bclass: @BlackUFA ну дай Кодзиме с фейковых аккаунтов свою игру по защищать. Жалко что ль
17:44:21 (00:45:05) (chat)  paranormalny_evgeny: @BlackUFA че ты нас спрашиваешь? как будто мы тут чето решаем pepeLaugh
17:44:23 (00:45:08) (chat)  blackjack9711: радуга
17:44:24 (00:45:08) (chat)  HellElias: @blackufa тебе вроде
17:44:25 (00:45:09) (chat)  konnorson: !time
17:44:25 (00:45:09) (chat)  Arhiteck: LULWW
17:44:25 (00:45:09) (chat)  Nightbot: Передаем в СВЧ-диапазоне уже 45 minutes 20 seconds
17:44:28 (00:45:12) (chat)  Respya: @ZeeWanderer_ я в кууурсеее
17:44:28 (00:45:13) (chat)  Regina20011: БТ - Beach(ed) Things (Выброшенные на Берег), это так тварей называют
17:44:29 (00:45:13) (chat)  avtomaton: от того и ахеренна
17:44:30 (00:45:15) (chat)  maemicorvo: направо пойдешь тварей найдешь,налево пойдешь ....
17:44:31 (00:45:15) (chat)  jolintropitantos: право SMOrc
17:44:32 (00:45:17) (chat)  ssilverhand: @blackufa просто беги прямо и все Jebaited
17:44:33 (00:45:17) (chat)  ZeeWanderer_: Вот тут дождь переждать точно негде
17:44:35 (00:45:19) (chat)  Nusonka: АВ где наш мотик?
17:44:37 (00:45:21) (chat)  Roorm: @respya, Да, тут народ может собирать ресы с помощью них прокладывать и строить дороги
17:44:38 (00:45:22) (chat)  Belochek: Словно на другой планете FeelsGreatMan
17:44:38 (00:45:22) (chat)  takPosmotrim: сделай ствол да гаси их
17:44:38 (00:45:23) (chat)  iDiklonius: без экзо-штанов скучно
17:44:39 (00:45:24) (chat)  MegaGazon: jonCorn jonCorn jonCorn
17:44:40 (00:45:24) (chat)  JulieWestwind: @BlackUFA А что если вся игра - это фантазии молодого отца-одиночки, который просто бегает за едой, водой и памперсами? И всё это он придумал, чтобы скрасить время.
17:44:44 (00:45:28) (chat)  takPosmotrim: типо шокер
17:44:45 (00:45:30) (chat)  doctorsike: @BlackUFA а вы будете сер читать ЛОР?
17:44:46 (00:45:30) (chat)  Evgeniy_Berdsk: @BlackUFA я когда пиццу свою дождусь? время доставки полчаса назад закончилось уже!!! artgam2RAGE artgam2RAGE artgam2Iq20
17:44:46 (00:45:31) (chat)  Jipegass: Радуга WutFace
17:44:49 (00:45:33) (chat)  dee_wheatenhead: снова дождик будет PepeWhy
17:44:53 (00:45:37) (chat)  ViolenceBF: Итс Питца тайм
17:44:57 (00:45:42) (chat)  Batman43d: радуга KappaPride
17:44:58 (00:45:42) (chat)  AlmightyPuding: там радуга и все выглядит как мордор
17:45:06 (00:45:51) (chat)  Nightbot: Архив трансляций на юпупе: https://www.youtube.com/user/BlackSilverChannel
17:45:07 (00:45:51) (chat)  ARTCafe_: @BlackUFA как ты? не упоролся ещё?
17:45:08 (00:45:53) (chat)  fokusAMF: @paranormalny_evgeny bufaChatPower bufaChatPower bufaChatPower bufaChatPower bufaChatPower bufaChatPower bufaChatPower bufaChatPower bufaChatPower bufaChatPower
17:45:14 (00:45:58) (chat)  ri_ekhart_Shepard: А что не так с дождём, @чат ?
17:45:15 (00:45:59) (chat)  VladDrakulaHax: @BlackUFA меня мучает один вопрос, играть интересно? А то не знаю покупать на плойку за фулл прайс или подождать пока подешевеет
17:45:15 (00:45:59) (chat)  maemicorvo: крастся лучше
17:45:15 (00:46:00) (chat)  zeitgeistxxl: peepoSprint
17:45:17 (00:46:01) (chat)  Respya: @Roorm пасибо, я просто отвлекался на тел)
17:45:18 (00:46:02) (chat)  iDiklonius: это сканеры, алло
17:45:20 (00:46:05) (chat)  CycleOfFire: Самое главное после часов 10 реально понимаешь, что игра геймплейно не похожа ни на что
17:45:21 (00:46:06) (chat)  moonrainbow: да
17:45:22 (00:46:06) (chat)  V4lka004: сканировать нельзя рядом с ними
17:45:23 (00:46:07) (chat)  ViolenceBF: 11\10
17:45:23 (00:46:07) (chat)  Skywraths: Они спотают радарами маяки твоих грузов
17:45:25 (00:46:09) (chat)  ipcyborg2016: они догоняют всей толпой. но пинаю по одному)
17:45:26 (00:46:11) (chat)  blackjack9711: бирки грузов сканируют @BlackUFA
17:45:27 (00:46:11) (chat)  vovondianskiy: так ты не подходи
17:45:27 (00:46:11) (chat)  Teschsa: bufaKojimaGenius bufaDonAptypo
17:45:28 (00:46:12) (chat)  Arhiteck: тепловой локатор,ты горячий
17:45:29 (00:46:13) (chat)  Ladart: да
17:45:29 (00:46:14) (chat)  SuperPuper001: хз
17:45:30 (00:46:14) (chat)  evilalexa1: они перехватывают твой радар
17:45:30 (00:46:14) (chat)  forgetme_not: странно что он не взял зонтик той тян
17:45:30 (00:46:15) (chat)  Roorm: они груз метят на тебя пофиг bufaHee
17:45:30 (00:46:15) (chat)  alexgo2025: @JulieWestwind а с кем он тогда дерется и в кого кидает каловые гранаты?
17:45:31 (00:46:15) (chat)  Pixie_Djin: у них радиус скорее всего
17:45:31 (00:46:16) (chat)  HellElias: @blackufa тебе вроде говори что веровкай можешь парировать атаки или я ошибаюсь ?
17:45:35 (00:46:19) (chat)  Mr__Cyanide: @BlackUFA может они на груз реагируют?
17:45:38 (00:46:23) (chat)  Roorm: @respya, bufaKojimaGenius
17:45:41 (00:46:25) (chat)  Eduardo3187: Всем привет ela7
17:45:41 (00:46:25) (chat)  bloot3: чичичи
17:45:44 (00:46:29) (chat)  mercanie1: чичичи
17:45:45 (00:46:29) (chat)  AkiraSait0: они метят бирки с грузов
17:45:47 (00:46:31) (chat)  Ridzaki_: у них такой же сканер как у тебя, просто сканируют окружение
17:45:48 (00:46:33) (chat)  Regina20011: @ri_ekhart_shepard он ускоряет время предметом, старит их
17:45:50 (00:46:35) (chat)  Salvatore_Ursus: @teschsa, @roorm bufaDonAptypo artgam2AGHeavyHorns
17:45:51 (00:46:36) (chat)  blackjack9711: они бирки грузов сканируют @BlackUFA
17:45:55 (00:46:39) (chat)  LieberTV: чичичи
17:45:57 (00:46:41) (chat)  Dante_Rock: здравствуйте всем
17:46:02 (00:46:46) (chat)  Belochek: @Eduardo3187 dwillisHi dwillisPicard <3
17:46:02 (00:46:46) (chat)  zeitgeistxxl: Kreygasm
17:46:04 (00:46:49) (chat)  Nightbot: Хочешь стать частью самого дружелюбного Discord-сообщества на твиче? (6000+ сексуальных людей!) Вступай в наш клуб: https://discordapp.com/invite/bsndw
17:46:05 (00:46:49) (chat)  KeylorReyzer: @blackufa а когда лайкаешь, надо именно нажимать на тачпад, или лёгкого касания будет хватать?
17:46:06 (00:46:51) (chat)  Roorm: @salvatore_ursus, <3 TakeNRG bufaLove
17:46:08 (00:46:53) (chat)  jolintropitantos: может тогда не подходить к ним SMOrc
17:46:10 (00:46:54) (chat)  AlmightyPuding: @BlackUFA Это лесница другого стримера кстати
17:46:15 (00:47:00) (chat)  Respya: NoWay тут пешком можно было пройти. Помог офигеть LUL
17:46:17 (00:47:01) (chat)  HateMan: да
17:46:18 (00:47:02) (chat)  napk1n__: Jebaited
17:46:18 (00:47:03) (chat)  maemicorvo: чегооо
17:46:19 (00:47:03) (chat)  Daredo_: pepeLaugh
17:46:19 (00:47:04) (chat)  mamaybarmaley5bclass: да ладно?!
17:46:20 (00:47:04) (chat)  Salvatore_Ursus: @eduardo3187, artgam2AGHeavyHorns tanyagSirCat tanyagNewYearMeow
17:46:21 (00:47:06) (chat)  Socia_path: PogChamp PogChamp PogChamp
17:46:23 (00:47:07) (chat)  dee_wheatenhead: WaitWhat
17:46:23 (00:47:07) (chat)  Tr0yz: CoolStoryBob
17:46:23 (00:47:07) (chat)  VoprosiKira: bohaShok bohaShok
17:46:23 (00:47:08) (chat)  Rass_sol: Rass_sol subscribed with Twitch Prime. 
17:46:24 (00:47:08) (chat)  vladiskor_tw: LUL
17:46:25 (00:47:09) (chat)  Dante_Rock: с 11 утра смотрел вчерашний стрим. 5 минут не досмотрел NotLikeThis
17:46:26 (00:47:10) (chat)  darja_m: теперь знаю
17:46:27 (00:47:11) (chat)  ACATOP: это куст
17:46:29 (00:47:14) (chat)  1annexa1: ну да SMOrc
17:46:31 (00:47:15) (chat)  dan_sai: Clap
17:46:32 (00:47:17) (chat)  Albatros128: bufa1 bufa1 bufa1 bufa1 bufa1
17:46:32 (00:47:17) (chat)  LadyDreamsKRD: Говорят. рейтинг игры намерено обрушили на метокритике
17:46:32 (00:47:17) (chat)  fokusAMF: bufa1 bufa1 bufa1
17:46:34 (00:47:18) (chat)  EllaFa: Это известный факт pepeLaugh
17:46:34 (00:47:18) (chat)  rusant: Растения стельки!? ГЕНИАЛЬНО!
17:46:35 (00:47:19) (chat)  iDiklonius: сканер
17:46:35 (00:47:20) (chat)  Eduardo3187: Dosha subs DansGame
17:46:36 (00:47:20) (chat)  Regina20011: @blackufa а ты на базе дочитаешь остальное всё?
17:46:37 (00:47:22) (chat)  Arhiteck: тапочное дерево
17:46:39 (00:47:23) (chat)  0Abramovich: !time
17:46:39 (00:47:23) (chat)  Nightbot: Передаем в СВЧ-диапазоне уже 47 minutes 34 seconds
17:46:39 (00:47:24) (chat)  ZeeWanderer_: @BlackUFA у всех грузов есть бирки, их нельзя спрятать. Это сканеры бирок.
17:46:40 (00:47:24) (chat)  NastyaCasper: bufa1 bufa1 bufa1 bufa1
17:46:40 (00:47:24) (chat)  TomatoAlicorn: ЕЕЕ подзагрузки
17:46:41 (00:47:26) (chat)  JulieWestwind: @alexgo2025 ну придумывает воображаемых врагов или смотрит на каких-нибудь невоспитанных быдланов и представляет врагами их
17:46:43 (00:47:27) (chat)  Daredo_: LULWW
17:46:44 (00:47:28) (chat)  zeitgeistxxl: monkaStare
17:46:44 (00:47:28) (chat)  ShussIIII: я дико извинюсь, но как эта игра в плане атмосферности?
17:46:45 (00:47:29) (chat)  absurd909: сканеры впереди
17:46:45 (00:47:30) (chat)  Anuban: стой маяк
17:46:48 (00:47:32) (chat)  nexi07: всем привет, чат, Аптип
17:46:49 (00:47:34) (chat)  Plotoiadnuikeksik: так трусы тоже на деревьях растут так то
17:46:50 (00:47:34) (chat)  TomatoAlicorn: Спасибо тебе твич
17:46:50 (00:47:34) (chat)  Eduardo3187: !кусь
17:46:50 (00:47:34) (chat)  Albatros128: @eduardo3187, SeriousSloth MercyWing2
17:46:50 (00:47:35) (chat)  Nightbot: Найтбот с дикими криками раздевается и кусает тебя за жёпь.
17:46:51 (00:47:36) (chat)  Ladart: @AlmightyPuding eligorkoPraise
17:46:52 (00:47:36) (chat)  VoprosiKira: откуда дерево знает какой у меня размер? SMOrc
17:46:54 (00:47:38) (chat)  ruOFFman: стельки другого стримера
17:46:54 (00:47:38) (chat)  blackyspace: все удовольствие от игры, как раз в атмосфере одиночества. что-то новое в индустрии @BlackUFA
17:46:55 (00:47:39) (chat)  Ludvig__from_Israel: хаха, сандальник
17:46:58 (00:47:42) (chat)  twentin_qarantino: @BlackUFA перс похож на первоклассника Kappa
17:46:59 (00:47:44) (chat)  Tomchat: Криптобиоты рядом! sempaiWAN
17:47:02 (00:47:46) (chat)  maemicorvo: блин стельки на дереве LUL
17:47:03 (00:47:47) (chat)  Nightbot: Подписаться с мобилы: https://subs.twitch.tv/blackufa
17:47:05 (00:47:49) (chat)  Centralniy: Не топчи стельки, они на деревьях не растут LUL LUL LUL
17:47:07 (00:47:51) (chat)  Skywraths: Советую сначала к инженеру
17:47:07 (00:47:52) (chat)  Semyon4iz: @BlackUFA А два игрока могут встретиться?
17:47:08 (00:47:52) (chat)  Daredo_: мб сохраниться ? @BlackUFA
17:47:08 (00:47:52) (chat)  CopperCoen: @BlackUFA А босиком пробовали бегать?
17:47:10 (00:47:54) (chat)  JoseMarti1853: Да, ливанское стеличное дерево.
17:47:10 (00:47:55) (chat)  1azatishka1: А сланцы из земли добывают (Сланец)
17:47:11 (00:47:55) (chat)  Astorath_the_grim: утром видел у одного стримера как люди построили с помощью мостов дорогу над зоной где водились твари и ездили над ними свободно PogChamp
17:47:15 (00:47:59) (chat)  killarama1: самый хрупкий груз последним)
17:47:16 (00:48:01) (chat)  Salvatore_Ursus: @plotoiadnuikeksik, artgam2AGHeavyHorns bufaGlases artgam2AGHeavyHorns
17:47:17 (00:48:01) (chat)  Kseroman: но инженеру нужно хрупкий груз доставить
17:47:19 (00:48:03) (chat)  NastyaCasper: @Eduardo3187 bufaCoolStory
17:47:21 (00:48:05) (chat)  Roorm: Гениально прокладываем маршруты
17:47:21 (00:48:05) (chat)  Bogratova: с такими технологиями (и, раз уж они изучали дождь) они могли хотя бы попытаться возобновить гидрометцентр, чтобы облегчить жизнь службам, которые перемещаются по территории monkaHmmW
17:47:23 (00:48:08) (chat)  down_limit: в этой игре можно стримснайпить и ставить Блэку неудачные лестницы, спускать веревки, которые не достают да земли метров 20?
17:47:24 (00:48:09) (chat)  aleksandrstolbov: а веганы едят стельки?
17:47:26 (00:48:10) (chat)  blackjack9711: !кусь
17:47:28 (00:48:13) (chat)  AlmightyPuding: @Ladart HeyGuys
17:47:29 (00:48:13) (chat)  alexgo2025: @JulieWestwind тогда почему он еще не в дурке?
17:47:30 (00:48:14) (chat)  VoronaZero: почему криптобиоты, а не тихоходки?
17:47:31 (00:48:16) (chat)  Skywraths: @Semyon4iz Соре что вмешиваюсь но нет,здесь ассинхронный мп
17:47:33 (00:48:17) (chat)  tatarinman: Это что, пригород Челябинска ?
17:47:34 (00:48:18) (chat)  KvantKvant: @BlackUFA нраица?
17:47:36 (00:48:20) (chat)  mamaybarmaley5bclass: Сурова конечно наша Камчатка
17:47:37 (00:48:21) (chat)  takPosmotrim: грузщик парень работящий)
17:47:37 (00:48:22) (chat)  nagarashi_aino: Хоть в клятые горы лезть не надо...
17:47:40 (00:48:25) (chat)  KeylorReyzer: @plotoiadnuikeksik сразу чот вспомнилось съедобное исподнее) Кстати здрасти
17:47:42 (00:48:26) (chat)  maza932: куда ты идешь?
17:47:42 (00:48:27) (chat)  RafaelKuKu: в чем смысл игры?
17:47:43 (00:48:27) (chat)  ZeeWanderer_: @BlackUFA ты самый зрупкий груз доставляешь последним....
17:47:45 (00:48:30) (chat)  Demonic_smile: А Лор выйдет погулять? Keepo Keepo Keepo
17:47:45 (00:48:30) (chat)  Salvatore_Ursus: @astorath_the_grim, artgam2AGHeavyHorns lorian1Hi
17:47:48 (00:48:33) (chat)  timatimtimon: А ты уже узнал, что бы случилось если бы ту другую дату рождения ввёл? @blackufa
17:47:49 (00:48:34) (chat)  Xaste1: А можно без грузов датчики МУЛов убрать?
17:47:50 (00:48:34) (chat)  Dante_Rock: !time
17:47:50 (00:48:34) (chat)  Nightbot: Передаем в СВЧ-диапазоне уже 48 minutes 45 seconds
17:47:52 (00:48:37) (chat)  w0tel: тихоходки подадут на авторские права потому что
17:47:53 (00:48:37) (chat)  Semyon4iz: Спасибо
17:47:54 (00:48:38) (chat)  Arhiteck: а может это мы иаленькие
17:47:55 (00:48:40) (chat)  anzay_ru: Бог создал людей сильными и слабыми. Сэмюэл Кольт сделал их равными.
17:47:57 (00:48:42) (chat)  sashaap: пипец твич глючит, смотреть не возможно.
17:47:58 (00:48:42) (chat)  sheeekaku: @BlackUFA Когда увидел эту механику с помощью другим игрокам лестницами и т.п думал бред но на самом деле очень крутая механика)
17:47:58 (00:48:42) (chat)  imHOSH_: @down_limit да Pog
17:48:03 (00:48:48) (chat)  Daredo_: BSUTrolled
17:48:04 (00:48:49) (chat)  Pixie_Djin: тогда уж в милионы
17:48:05 (00:48:49) (chat)  Roorm: @bogratova, Так дальше в игре можно будет по погоде ориентироваться
17:48:05 (00:48:49) (chat)  YuraDaim: BSUHey
17:48:05 (00:48:50) (chat)  askim112: @BlackUFA ты из яндекс еды?
17:48:07 (00:48:52) (chat)  CoffeeGG88: SMOrc SMOrc
17:48:08 (00:48:52) (chat)  Belochek: KEKW KEKW KEKW
17:48:08 (00:48:52) (chat)  killarama1: @BlackUFA прямо к кратору идешшь, что там такое в воздухе летает?
17:48:08 (00:48:52) (chat)  pajila9_chupakabra: умный гору обойдет
17:48:08 (00:48:53) (chat)  kencorbin: Чё не пописал возле грибов?
17:48:10 (00:48:54) (chat)  VoronaZero: старый хрен редьки слаще
17:48:10 (00:48:55) (chat)  VESBERY: trongaFu
17:48:11 (00:48:55) (chat)  KOTxBop4yH: такие бы пустоши и графон с фаллаутом соединить Kreygasm
17:48:11 (00:48:55) (chat)  svh_kalmar: старый пень скорее
17:48:11 (00:48:55) (chat)  J_Bandit: мы поняли Keepo
17:48:11 (00:48:56) (chat)  PopecHitrec: тише едешь, дальше будешь
17:48:12 (00:48:56) (chat)  LadyDreamsKRD: Тихоходки самые живучие существа на земле
17:48:12 (00:48:57) (chat)  Boozya: @BlackUFA Тише едешь дальше будешь
17:48:12 (00:48:57) (chat)  Ingwar93: старый конь лучше новых двух
17:48:12 (00:48:57) (chat)  robbzombie_: тише едешь - дальше будешь
17:48:13 (00:48:57) (chat)  VoprosiKira: Старый конь уже не молодой Kappa
17:48:13 (00:48:57) (chat)  Duke_FM: дарова чатику!
17:48:13 (00:48:57) (chat)  Mr__Cyanide: @BlackUFA а может быть криптобиоты - как раз обычные тихоходки?
17:48:14 (00:48:59) (chat)  General_Duty: @BlackUFA А можно как то прогноз погоды узнавать?
17:48:15 (00:48:59) (chat)  Dimos7575: !Какигра
17:48:15 (00:48:59) (chat)  Nightbot: Игра хорошая. А ты не очень.
17:48:15 (00:49:00) (chat)  mamaybarmaley5bclass: Хочешь сказать , что Кодзима всего лишь фантазер? А не еретик ли вы часом?
17:48:16 (00:49:00) (chat)  evilalexa1: дольше едешь не доедешь
17:48:16 (00:49:00) (chat)  parallelogramm1: Старый веник борозды не испортит @BlackUFA
17:48:16 (00:49:01) (chat)  PieLieDie24: Старый конь LUL
17:48:17 (00:49:02) (chat)  JulieWestwind: @alexgo2025 потому что у него не глюки,а он просто фантазирует. Яркое воображение у человека
17:48:17 (00:49:02) (chat)  blackoren56: у хрупкого груза время
17:48:19 (00:49:04) (chat)  Chebak87: Старый Блэк - борозды не портит)))
17:48:20 (00:49:04) (chat)  Salvatore_Ursus: @demonic_smile, artgam2AGHeavyHorns bufaLittleNinya
17:48:20 (00:49:05) (chat)  R1N23: @BlackUFA старый стример лучше новых двух LUL
17:48:20 (00:49:05) (chat)  OwLneverSIeep: там есть некоторые ньюансы, так что лучше к инженеру все таки. а дальше как хочешь
17:48:22 (00:49:06) (chat)  liferenko: Старый конь один раз отрежет, как говорится)
17:48:22 (00:49:06) (chat)  irikost: jonCorn
17:48:22 (00:49:07) (chat)  unIucky13: прям на радугу вроде идет Kappa
17:48:23 (00:49:07) (chat)  kastaneda21: г
17:48:23 (00:49:08) (chat)  A_L_I_E_N: @BlackUFA Но и глубоко не вспашет! ;)
17:48:23 (00:49:08) (chat)  Daredo_: monkaEyes
17:48:24 (00:49:08) (chat)  forgetme_not: KappaPride
17:48:25 (00:49:09) (chat)  1annexa1: но так себе вспашет bufaOops
17:48:26 (00:49:10) (chat)  dan_sai: Как ни странно, но есть что-то затягивающее в этом геймплее...
17:48:26 (00:49:10) (chat)  KOTxBop4yH: NotATK
17:48:26 (00:49:11) (chat)  TheShadeMan: Каждый раз когда Артур говорит что он знает что делает, всё идёт через жеппу LUL
17:48:30 (00:49:14) (chat)  Skywraths: @killarama1 Там твари
17:48:30 (00:49:14) (chat)  w0tel: Старый Артур борозды не испортит
17:48:30 (00:49:15) (chat)  mamaybarmaley5bclass: опять веник вылез
17:48:34 (00:49:18) (chat)  kuksonchik: 🌈!!!
17:48:36 (00:49:20) (chat)  dee_wheatenhead: кто подскажет, какая глава? 3я?
17:48:36 (00:49:20) (chat)  killerlot: Но и глубоко не вспашет! Kappa
17:48:37 (00:49:21) (chat)  Daredo_: не надо
17:48:37 (00:49:21) (chat)  absurd909: веник ложь да в нём намёк
17:48:38 (00:49:22) (chat)  Onedragon11ru: размер тихоходки 1 мм
17:48:40 (00:49:24) (chat)  moonrainbow: нет
17:48:40 (00:49:24) (chat)  eshka777: старый веник веник не испортит
17:48:41 (00:49:25) (chat)  Demonic_smile: LUL
17:48:42 (00:49:26) (chat)  koteykuskus: А почему нельзя сканировать?
17:48:43 (00:49:27) (chat)  TheDrHax: @dee_wheatenhead, да
17:48:44 (00:49:29) (chat)  A_L_I_E_N: @BlackUFA Но и глубоко не вспашет!
17:48:46 (00:49:30) (chat)  VoprosiKira: gg
17:48:46 (00:49:30) (chat)  OwLneverSIeep: OMEGALUL
17:48:47 (00:49:31) (chat)  x_gamlet_x: дождь?! не, ну мерзость, конечн
17:48:47 (00:49:31) (chat)  paranormalny_evgeny: 7 раз отмерь, один раз веник @BlackUFA
17:48:48 (00:49:33) (chat)  Daredo_: сохранись тогда @BlackUFA
17:48:49 (00:49:33) (chat)  Skywraths: @dee_wheatenhead да 3
17:48:49 (00:49:34) (chat)  boozoon_higgsa: Старый стримлер чат не испортит BSUHey
17:48:50 (00:49:35) (chat)  fenikseez: @BlackUFA Голод не веник,в лес не убежит
17:48:51 (00:49:35) (chat)  Bogratova: @Roorm если так, то хорошо, а то выходишь на маршрут и надеешься, что не увидишь на пути радуги
17:48:51 (00:49:36) (chat)  karmadivov: не испортит. но и глубоке хрен вспашет
17:48:54 (00:49:38) (chat)  Osoznanie_Soznaniya: @BlackUFA Хромому Кадзиме, семь вёрст не крюк!!!
17:48:54 (00:49:38) (chat)  Roorm: @dee_wheatenhead, вроде бы
17:48:54 (00:49:39) (chat)  Belochek: BSUTrolled BSUTrolled
17:48:55 (00:49:39) (chat)  zeitgeistxxl: Sherlock
17:48:56 (00:49:40) (chat)  ACATOP: алло
17:48:57 (00:49:41) (chat)  Arhiteck: Старый Артур игры не испортит. Sherlock
17:48:58 (00:49:42) (chat)  tatarinman: Интересно,а можно всю карту превратить в кратеры, как на луне
17:49:00 (00:49:44) (chat)  6665556: Таких больших технодемок я ещё не видел
17:49:01 (00:49:45) (chat)  iDiklonius: мы пока боимся мулов
17:49:01 (00:49:45) (chat)  dee_wheatenhead: Спасибо)
17:49:03 (00:49:48) (chat)  ipcyborg2016: ну отних то и убежать можно )
17:49:05 (00:49:49) (chat)  JulieWestwind: @BlackUFA а потом гг просыпается, а он просто отец одиночка и всё, что он натащил - это еда и упаковки памперсов
17:49:05 (00:49:50) (chat)  ing_lorious: Безопасный маршрут говорил он CarlSmile
17:49:08 (00:49:52) (chat)  alexgo2025: @JulieWestwind хорошая отмазка, но санитары не поверят, и все же выдадут добрую дозу транквилизатора
17:49:09 (00:49:53) (chat)  maza932: сохранись
17:49:09 (00:49:54) (chat)  Mutaborr163: Медленно но верно
17:49:10 (00:49:55) (chat)  fintilroy: Русский долго запрягает зато быстро едет
17:49:11 (00:49:55) (chat)  KeylorReyzer: Веник Веник видит издалека
17:49:12 (00:49:56) (chat)  kastaneda21: вакансия грузщик - курьер
17:49:12 (00:49:56) (chat)  VoprosiKira: bohaF bohaF bohaF
17:49:13 (00:49:57) (chat)  anzay_ru: стой дорогу уже
17:49:16 (00:50:00) (chat)  jolintropitantos: не стоит
17:49:16 (00:50:00) (chat)  koteykuskus: Поняла, спасибо)
17:49:16 (00:50:00) (chat)  parallelogramm1: @BlackUFA Сейчас то хоть немного сюжет прояснился?
17:49:19 (00:50:03) (chat)  Roorm: @bogratova, Поиграем увидим bufaHee
17:49:21 (00:50:05) (chat)  SaqweR300: SaqweR300 subscribed at Tier 1. They've subscribed for 22 months! 22 месяца это уж не мало ,лю тебя Аптип
17:49:22 (00:50:07) (chat)  blackjack9711: они бирки грузов сканируют, на сканер твой не реагируют @BlackUFA
17:49:22 (00:50:07) (chat)  Xaste1: А датчики МУЛов можно самому убирать?
17:49:23 (00:50:07) (chat)  sheeekaku: @BlackUFA Когда увидел эту механику с помощью другим игрокам лестницами и т.п думал бред но на самом деле очень крутая механика)
17:49:23 (00:50:07) (chat)  paranormalny_evgeny: за двумя вениками погонишься...
17:49:25 (00:50:09) (chat)  riseff: все
17:49:26 (00:50:10) (chat)  Aernheim: хана грузу :(
17:49:26 (00:50:11) (chat)  eshka777: веник по осени считают
17:49:27 (00:50:11) (chat)  killarama1: давай налево
17:49:27 (00:50:11) (chat)  TheShadeMan: Минус груз LUL
17:49:28 (00:50:13) (chat)  TheDrHax: BSUHee
17:49:30 (00:50:15) (chat)  twentin_qarantino: такое ощущение, что игра про древний первобытный мир, когда ещё небыло высокоразвитых многоклеточных организмов
17:49:31 (00:50:15) (chat)  evilalexa1: не писай в дождик
17:49:31 (00:50:15) (chat)  TomatoAlicorn: LUL LUL
17:49:31 (00:50:16) (chat)  J_Bandit: LUL LUL LUL
17:49:33 (00:50:18) (chat)  EkaterinaOldSchool: KEKWLUL
17:49:33 (00:50:18) (chat)  TJwestside: мем с веником жив Pog
17:49:34 (00:50:18) (chat)  Demonic_smile: LUL
17:49:36 (00:50:21) (chat)  jolintropitantos: только круги делать будешь
17:49:37 (00:50:21) (chat)  x_gamlet_x: мерзость
17:49:37 (00:50:22) (chat)  riseff: ппц медакаментам
17:49:38 (00:50:22) (chat)  fokusAMF: bufa1 bufa1 bufa1 bufa1 bufa1 bufa1 bufa1
17:49:39 (00:50:23) (chat)  Roorm: Вообще то да bufaHee
17:49:40 (00:50:25) (chat)  ciliamfate: Все понятно
17:49:41 (00:50:25) (chat)  Belochek: BSUHey
17:49:41 (00:50:25) (chat)  ipcyborg2016: СЮжет: неси )
17:49:44 (00:50:28) (chat)  FeelsEvgeshA: KEKWLUL
17:49:45 (00:50:29) (chat)  nomorepancakestoday: без труда не вынешь веник из пруда
17:49:45 (00:50:29) (chat)  LieberTV: ахаха
17:49:45 (00:50:29) (chat)  CopperCoen: @BlackUFA А ты до полуночи по мск будешь сидеть?
17:49:45 (00:50:29) (chat)  zeitgeistxxl: bufa1 bufa1 bufa1
17:49:46 (00:50:30) (chat)  Vkysnyatina: ты бы хоть метку поставил @BlackUFA
17:49:46 (00:50:31) (chat)  1crystallize1: EleGiggle
17:49:47 (00:50:31) (chat)  ZeeWanderer_: я чет понять не могу, это какой дождь? темпоральный или обычный?
17:49:48 (00:50:32) (chat)  mamaybarmaley5bclass: Сюжет банален , как в косынке.
17:49:48 (00:50:33) (chat)  Airwaterfireearth: FeelsRainMan
17:49:49 (00:50:33) (chat)  svh_kalmar: бизапасный путь
17:49:49 (00:50:34) (chat)  D1ego102: D1ego102 subscribed at Tier 1. They've subscribed for 14 months, currently on a 14 month streak! привет Артур! удачного стрима!у вас много снега выпало?
17:49:50 (00:50:34) (chat)  rusant: Меня терзают смутные сомнения, что все игра это сон... ребенка. Папшка ему показывал книжки с Луной и космонавтов игрушечных и теперь он представляет себя в виде такого "космонавта".
17:49:51 (00:50:35) (chat)  TheDrHax: Pog
