03:25:12 (00:00:00) (comm)  prizm199: ьр
23:33:14 (00:36:36) (chat)  Mutabor_Shooter: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
23:33:14 (00:36:36) (chat)  Goldy__: wlg5 wlg5 wlg5 wlg5 wlg5
23:33:14 (00:36:36) (chat)  medieval1495: @fertonok эй! привет wlgLuv
23:33:16 (00:36:38) (chat)  SithAVGN: wlg5 wlg5 wlg5 wlg5 wlg5
23:33:18 (00:36:41) (chat)  svsergeevna: @kum7 wlgCry wlgCry
23:33:19 (00:36:41) (chat)  Sweetiepie66: wlg5 wlg5 wlg5 wlg5
23:33:20 (00:36:42) (chat)  Bogda123: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
23:33:20 (00:36:43) (chat)  medieval1495: wlg5 wlg5 wlg5
23:33:22 (00:36:44) (chat)  Nospire: wlg5 wlg5 wlg5 OWL2019Tracer OWL2019Tracer OWL2019Tracer
23:33:24 (00:36:46) (chat)  wlgboy: ВНИМАНИЕ! До конца сентября скидка 50% на подписку и переподписку! Порадуй стримера и себя! Kappa //
23:33:25 (00:36:47) (chat)  GlebBio: @mrmorkovi4 @alexanderroman wlgFlowers wlgFlowers wlgFlowers
23:33:27 (00:36:49) (chat)  SalikovSam: wlgCheers wlg5 wlg5
23:33:27 (00:36:49) (chat)  Vishenka_Cherry: @AbstractBottom доброго) agroKotek
23:33:29 (00:36:51) (chat)  Dark_Ice_Keeper: Я в детстве играл, но у меня лучница была
23:33:29 (00:36:51) (chat)  17thRain: мне тоже в детстве было страшно играть, поэтому я играл в варкрафт :)
23:33:34 (00:36:56) (chat)  fertonok: @medieval1495, wlgHype
23:33:35 (00:36:58) (chat)  STEELor47: @Respya я в нее в 9 классе играл когда свой комп появился и чет как то так себе... просто ничего больше не шло)))
23:33:36 (00:36:58) (chat)  1buhtobkuh1: Мне и сейчас страшно ,вырубай WutFace
23:33:38 (00:37:00) (chat)  MrGrayberk: @WELOVEGAMES ку, Денис!
23:33:39 (00:37:01) (chat)  maktrick: в детстве залипал целыми днями в комп клубе за этой игрой
23:33:40 (00:37:03) (chat)  uqxsander: кто смотрел карбот? вот там серия про мясника 1в1 как у меня было)
23:33:41 (00:37:03) (chat)  vorchashiy_dad: @WELOVEGAMES дарова копатель lfs69 привет чат lfs7
23:33:43 (00:37:05) (chat)  textolite: Храм испытаний какой-то... wlgOralb wlgOralb
23:33:48 (00:37:10) (chat)  MrGrayberk: Привет, чат.
23:33:53 (00:37:16) (chat)  Ed_Amosha: wlgPeka wlgPeka wlgPeka
23:33:56 (00:37:18) (chat)  GlebBio: @vorchashiy_dad wlgMug wlgMug wlgMug wlgMug
23:33:58 (00:37:20) (chat)  Vishenka_Cherry: @vorchashiy_dad привет) agroOhayou
23:33:58 (00:37:21) (chat)  totsamyiharry: кто то спалился wlgDen
23:33:59 (00:37:21) (chat)  OSuse: wlgOralb
23:33:59 (00:37:21) (chat)  No_Name_Guest_: LUL
23:34:00 (00:37:22) (chat)  avenger23rus: roddPalevo roddPalevo roddPalevo roddPalevo roddPalevo
23:34:00 (00:37:22) (chat)  Sweetiepie66: LUL
23:34:00 (00:37:22) (chat)  Mr_Dimiks: Развели Хранителя
23:34:00 (00:37:23) (chat)  medieval1495: wlgDeer wlgDeer wlgDeer
23:34:03 (00:37:25) (chat)  Obadiah_Price: PogChamp PogChamp ни чего себе тут у вас игры
23:34:03 (00:37:25) (chat)  svsergeevna: @vsemhoroso нормально. уехала вечером к родителям, греюсь у них. кайфую. ты как?
23:34:03 (00:37:25) (chat)  EragonJKee: фарм подписок без регистрации
23:34:04 (00:37:26) (chat)  wlgboy: хочешь узнать, когда будет следующий стрим? Подпишись на уведомления посредством личных сообщений ВКонтакте. Это удобно! https://vk.cc/9rSVZA
23:34:05 (00:37:27) (chat)  R1ddick: OMEGAROLL
23:34:05 (00:37:27) (chat)  LOlTER_Squad: triHmm
23:34:06 (00:37:29) (chat)  AlexanderRoman: @GlebBio та за шо? wlgDen wlgFlowers
23:34:07 (00:37:29) (chat)  AgentWXO: wlgPled wlgPled wlgPled wlgPled
23:34:08 (00:37:31) (chat)  docent604: wlgWow
23:34:08 (00:37:31) (chat)  SithAVGN: @vorchashiy_dad @MrGrayberk Добрый вечер wlg5 wlgPled wlgMug
23:34:08 (00:37:31) (chat)  Mrs_Christ: @vorchashiy_dad Пивет, дедуля wlgLuv
23:34:09 (00:37:31) (chat)  Respya: @STEELor47 мы ещё с папкой играли) 88й год. Ну я любил, да это совсем ранний компьютер... это у меня 4-й класс был, и тогда он мне всю жизнь определил LUL так и стал программистом)
23:34:11 (00:37:34) (chat)  Fomikrai: wlgPeka wlgPeka wlgPeka wlgPeka wlgPeka wlgPeka wlgPeka wlgPeka wlgPeka wlgPeka
23:34:12 (00:37:34) (chat)  Vishenka_Cherry: @MrGrayberk HeyGuys
23:34:13 (00:37:36) (chat)  Kum7: @svsergeevna, wlgSad wlgSad
23:34:14 (00:37:36) (chat)  Mr_Dimiks: tvjuicePeka tvjuicePeka tvjuicePeka tvjuicePeka
23:34:14 (00:37:36) (chat)  Goldy__: @vorchashiy_dad кусь wlgCheers wlgCheers bongoTap
23:34:16 (00:37:39) (chat)  STEELor47: слава богу LUL вышли
23:34:17 (00:37:39) (chat)  gatarelub: @Goldy__ приветь, Андрюшка wlgLuv
23:34:19 (00:37:41) (chat)  Nospire: Удиви =)
23:34:21 (00:37:43) (chat)  svsergeevna: @vorchashiy_dad здоров
23:34:23 (00:37:45) (chat)  Nospire: +
23:34:23 (00:37:45) (chat)  AViLovePlay: Цезарь BibleThump
23:34:24 (00:37:46) (chat)  Taemp: Цезарь топ
23:34:25 (00:37:47) (chat)  GlebBio: @alexanderroman Ну почему бы и нет ?!)
23:34:25 (00:37:48) (chat)  dilvot: PogChamp PogChamp PogChamp
23:34:26 (00:37:48) (chat)  pure_connection: POGGERS
23:34:26 (00:37:48) (chat)  Nikolayviktorovich: еее
23:34:27 (00:37:50) (chat)  Dark_Ice_Keeper: каесарь?
23:34:30 (00:37:52) (chat)  Skvatorix: etmOdobrau etmOdobrau etmOdobrau etmOdobrau etmOdobrau etmOdobrau
23:34:31 (00:37:53) (chat)  owlfrosty: Help me! Help. Me.
23:34:32 (00:37:54) (chat)  dzasohovich: Согласны
23:34:36 (00:37:58) (chat)  SithAVGN: @Mrs_Christ @princessintears Здравствуйте wlgLuv
23:34:37 (00:37:59) (chat)  AgentWXO: О я помню эту игру! wlgThumb wlgThumb wlgThumb wlgThumb
23:34:42 (00:38:04) (chat)  Skvatorix: wlgCheers wlgEz wlgCheers wlgEz wlgCheers wlgEz wlgCheers wlgEz
23:34:42 (00:38:05) (chat)  Goldy__: @gatarelub и тебе привет wlgHype <3
23:34:43 (00:38:05) (chat)  1buhtobkuh1: узнали? согласны?
23:34:43 (00:38:05) (chat)  svsergeevna: все показывай @welovegames
23:34:45 (00:38:07) (chat)  totsamyiharry: @owlfrosty help yoy
23:34:49 (00:38:11) (chat)  Mrs_Christ: @SithAVGN wlgLuv wlgLuv
23:34:51 (00:38:13) (chat)  vorchashiy_dad: @GlebBio @princessintears @svsergeevna @Vishenka_Cherry @Goldy__ wlgFlowers wlgFlowers lfsX
23:34:54 (00:38:16) (chat)  fertonok: @svsergeevna, wlgLuv wlgLuv wlgLuv
23:35:01 (00:38:24) (chat)  STEELor47: @respya, тю... я в 90 только реснулся)) так что видимо поэтому среди сверстников не было слышно про первую
23:35:03 (00:38:26) (chat)  AlexanderRoman: @GlebBio KappaPride подкатываешь?
23:35:13 (00:38:35) (chat)  svsergeevna: @vorchashiy_dad PrideGasp
23:35:14 (00:38:36) (chat)  GlebBio: @alexanderroman Удерживаю ))))
23:35:17 (00:38:39) (chat)  DerZinger: wlgRuined wlgRuined wlgRuined wlgRuined
23:35:20 (00:38:42) (chat)  Kum7: @fertonok, igorCoolstory
23:35:22 (00:38:44) (chat)  STEELor47: мммм
23:35:26 (00:38:48) (chat)  ErronSivors: CouldYouNot
23:35:26 (00:38:48) (chat)  dilvot: bjornD
23:35:26 (00:38:49) (chat)  svsergeevna: @fertonok dangarLove dangarLove
23:35:27 (00:38:50) (chat)  vsemhoroso: @svsergeevna, anakLuv как же хорошо тебе,а я дома мерзну.завтра обещали отопление дать. чай вот и с пирогом кушаю
23:35:28 (00:38:50) (chat)  STEELor47: пойду за очками 3д
23:35:28 (00:38:50) (chat)  Sempai_77: DansGame
23:35:28 (00:38:50) (chat)  BoodooPPL: RTX off
23:35:29 (00:38:51) (chat)  GlebBio: !caps
23:35:29 (00:38:52) (chat)  wlgboy: @GlebBio ваш баланс составляет 1536 крышечек.
23:35:31 (00:38:53) (chat)  mambaa00: LULW
23:35:31 (00:38:53) (chat)  julia_vi1: POGGERS
23:35:31 (00:38:53) (chat)  EDIIS: у тебя просто моник не тянет
23:35:33 (00:38:55) (chat)  santimentorr: 4Head 4Head 4Head
23:35:35 (00:38:57) (chat)  SithAVGN: Что это такое ? hehPepe
23:35:35 (00:38:57) (chat)  GlebBio: !wasteland
23:35:35 (00:38:58) (chat)  wlgboy: @GlebBio вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 36 минут.
23:35:39 (00:39:01) (chat)  AgentWXO: wlgDuck
23:35:40 (00:39:02) (chat)  EragonJKee: видюха не тянет
23:35:40 (00:39:02) (chat)  owlfrosty: @totsamyiharry мои сообщения теряются. ты знаешь что за версия песни now we are free играла с доната? это явно не оригинал
23:35:41 (00:39:03) (chat)  valdislav: от админа если?
23:35:41 (00:39:03) (chat)  Sempai_77: Комп не тянет )))))
23:35:43 (00:39:06) (chat)  AlexanderRoman: @GlebBio wlgOralb
23:35:43 (00:39:06) (chat)  textolite: wlgWow wlgWow
23:35:43 (00:39:06) (chat)  Goldy__: !wastelend
23:35:44 (00:39:07) (chat)  wlgboy: @PervyiIzKosmosa вы вернулись из пустоши - залог возвращен. Медперсонал убежища заметил у вас в костюме прокол. Необходимо провести обследование. Это займет 131 секунду. Вы смогли найти мешочек с 18 крышечками. Теперь на вашем балансе 28827 крышечек.
23:35:45 (00:39:07) (chat)  vorchashiy_dad: @Mrs_Christ ой хруст забыл wlgFlowers wlgDeer
23:35:46 (00:39:08) (chat)  BANDGAMING: @WELOVEGAMES драйвера не подходят
23:35:46 (00:39:08) (chat)  STEELor47: @WELOVEGAMES тут пол литра надо wlgCheers wlgLuck
23:35:46 (00:39:09) (chat)  No_Name_Guest_: Красотище
23:35:47 (00:39:10) (chat)  nosok90: Спроси Allaда он запусказ на прошлой неделе
23:35:48 (00:39:10) (chat)  svsergeevna: @vsemhoroso пирог с чем? raeAw
23:35:51 (00:39:14) (chat)  captoe: 2080 мало
23:35:52 (00:39:14) (chat)  xottab: !wasteland
23:35:52 (00:39:14) (chat)  wlgboy: @xottab вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 42 минуты.
23:35:52 (00:39:15) (chat)  Goldy__: !wasteland
23:35:53 (00:39:15) (chat)  asmodey935: @WELOVEGAMES Слишком мощная видеокарта wlgDeer wlgPeka
23:35:53 (00:39:15) (chat)  wlgboy: @Goldy__ вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 57 минут.
23:35:54 (00:39:16) (chat)  docent604: @WELOVEWELOVEGAMES попробуй запустить в режиме совместимости 98 винды
23:35:55 (00:39:17) (chat)  4iki_briki_pokemon: надо видеокарту лучше
23:35:55 (00:39:17) (chat)  VitaliiVetal: @welovegames видеодрайвер !!!!
23:35:58 (00:39:20) (chat)  Mr_Dimiks: надо комп апгрейдить. езжай нв Горбушку @WELOVEGAMES
23:36:02 (00:39:24) (chat)  Nospire: Опа. Спалил NFS
23:36:04 (00:39:26) (chat)  Goldy__: 57 WutFace WutFace
23:36:04 (00:39:26) (chat)  totsamyiharry: @owlfrosty мне показалось что оригинал
23:36:05 (00:39:28) (chat)  wlgboy: @ASAGIUS вы вернулись из пустоши - залог возвращен. Вы нашли обычный предмет на старой свалке - [Биогель]. Положив находку в инвентарь, вы обнаружили, что у вас больше не осталось свободных слотов.
23:36:07 (00:39:29) (chat)  Skvatorix: Я всегда запускал режим совместимости
23:36:08 (00:39:30) (chat)  dilvot: музыка bjornGasm bjornGasm bjornGasm
23:36:10 (00:39:32) (chat)  AbstractBottom: wlgOralb видюха не тянет wlgPeka wlgPeka
23:36:10 (00:39:32) (chat)  Respya: @WELOVEGAMES это в реестре надо ... сейчас не подскажу( Попробуй совместимость с Win 95/98
23:36:11 (00:39:33) (chat)  XEScexy: @WELOVEGAMES ,запусти с совместимостью вин 95 или позже версии
23:36:11 (00:39:34) (chat)  wlgboy: @Chip30111989 спасибо за поддержку на 300.00 RUB. Вам было выдано соответствующее кол-во крышечек.
23:36:14 (00:39:36) (chat)  Mrs_Christ: @vorchashiy_dad Щас бы про Крист забыть Kermitpls
23:36:16 (00:39:38) (chat)  ASAGIUS: !inv
23:36:16 (00:39:39) (chat)  wlgboy: @ASAGIUS у вас в инвентаре следующие предметы: 1. [Шариковый кляп] 2. [Панкор Джекхаммер] 3. [Рад-X] 4. [Закаленная силовая броня] 5. [Яд] 6. [Биогель] 7. [Пластиковая взрывчатка]. Занято слотов: [7/7]
23:36:18 (00:39:40) (chat)  captoe: Kreygasm Kreygasm Kreygasm Kreygasm
23:36:21 (00:39:43) (chat)  vsemhoroso: @svsergeevna, anakShy лимоная начинка
23:36:23 (00:39:46) (chat)  ASAGIUS: !inv drop 6
23:36:24 (00:39:46) (chat)  wlgboy: @ASAGIUS предмет [Биогель] изъят из вашего инвентаря.
23:36:24 (00:39:46) (chat)  wlgboy: ВНИМАНИЕ! До конца сентября скидка 50% на подписку и переподписку! Порадуй стримера и себя! Kappa //
23:36:28 (00:39:50) (chat)  AlexanderRoman: !inv
23:36:28 (00:39:51) (chat)  wlgboy: @AlexanderRoman вы не можете это сделать, пока находитесь в пустоши.
23:36:29 (00:39:51) (chat)  ASAGIUS: !wasteland
23:36:29 (00:39:52) (chat)  wlgboy: @ASAGIUS вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 48 минут.
23:36:30 (00:39:52) (chat)  totsamyiharry: @owlfrosty можно потом зашазамить с записи стрима конечно
23:36:34 (00:39:56) (chat)  OSuse: !inv
23:36:34 (00:39:56) (chat)  wlgboy: @OSuse у вас в инвентаре следующие предметы: 1. [Карта доступа] 2. [Докторский чемоданчик] 3. [Большая круглая печать]. Занято слотов: [3/6]
23:36:34 (00:39:56) (chat)  svsergeevna: @vsemhoroso оооу мааай raeLewd
23:36:39 (00:40:01) (chat)  vorchashiy_dad: @Mrs_Christ lfsE
23:36:41 (00:40:04) (chat)  OSuse: !wasteland
23:36:42 (00:40:04) (chat)  wlgboy: @OSuse вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 30 минут.
23:36:43 (00:40:05) (chat)  vsemhoroso: @svsergeevna, отъедаешься у родителей? distFat distFat
23:36:45 (00:40:08) (chat)  DarkGalaxySun: Привет попробуй Alt+Enter @WELOVEGAMES
23:36:49 (00:40:11) (chat)  OSuse: ASAGIUS wlg5 wlgF
23:36:50 (00:40:12) (chat)  valdislav: @WELOVEGAMES совместимость 95, и от админа попробуй
23:36:50 (00:40:12) (chat)  nosok90: Запусти в режиме совместимости с windows 7
23:36:50 (00:40:12) (chat)  SithAVGN: @OSuse Добрый вечер wlg5 wlgPled
23:36:50 (00:40:13) (chat)  STEELor47: что такое серч один то?
23:36:51 (00:40:13) (chat)  owlfrosty: @totsamyiharry спасибо за отклик)
23:36:53 (00:40:16) (chat)  STEELor47: о чем вообще игра
23:36:54 (00:40:16) (chat)  OSuse: SithAVGN :H
23:36:56 (00:40:18) (chat)  ASAGIUS: @OSuse wlg5
23:36:56 (00:40:18) (chat)  fertonok: @svsergeevna, RaccAttack wlgFlowers
23:37:00 (00:40:22) (chat)  OSuse: VoHiYo SithAVGN
23:37:01 (00:40:24) (chat)  Maelochka: !inv
23:37:01 (00:40:24) (chat)  wlgboy: @princessintears вы вернулись из пустоши - залог возвращен. Медперсонал убежища заметил у вас в костюме прокол. Необходимо провести обследование. Это займет 147 секунд. Вы смогли найти мешочек с 24 крышкечами. Теперь на вашем балансе 2253 крышечки.
23:37:02 (00:40:24) (chat)  wlgboy: @Maelochka у вас в инвентаре следующие предметы: 1. [Значок шерифа]. Занято слотов: [1/2]
23:37:02 (00:40:25) (chat)  vorchashiy_dad: @princessintears lfs69
23:37:06 (00:40:29) (chat)  AlexanderRoman: @vorchashiy_dad Дарова wlgDuck
23:37:09 (00:40:31) (chat)  Mr_Dimiks: это из Властелина Колец играет?
23:37:10 (00:40:32) (chat)  lehaft5: здравствуйте, продолжение террарии планируется?
23:37:10 (00:40:33) (chat)  Nospire: @STEELor47 Стратегия
23:37:11 (00:40:33) (chat)  Mr_Dimiks: Да
23:37:11 (00:40:33) (chat)  totsamyiharry: @owlfrosty та не за что бро wlgF
23:37:12 (00:40:34) (chat)  Respya: @STEELor47 Правда ли, что щас в неё трудно играть? Ты бы сыграл? Мои знакомые например не жалуют её.
23:37:15 (00:40:37) (chat)  SithAVGN: @ASAGIUS wlg5 wlgF
23:37:18 (00:40:40) (chat)  Maelochka: !wasteland
23:37:18 (00:40:40) (chat)  wlgboy: @Maelochka вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 36 минут.
23:37:20 (00:40:43) (chat)  EDIIS: шифт + интер
23:37:20 (00:40:43) (chat)  ASAGIUS: @SithAVGN wlg5
23:37:23 (00:40:45) (chat)  ErronSivors: wlgWow это ВК?
23:37:25 (00:40:47) (chat)  GlebBio: @asagius она ещё не видела ?!)
23:37:28 (00:40:50) (chat)  svsergeevna: @vsemhoroso не, простотгреюсь. надо наоборот худеть raeFeelsBad
23:37:29 (00:40:51) (chat)  STEELor47: @respya, в диаблу 1?
23:37:33 (00:40:55) (chat)  Respya: @STEELor47 да
23:37:33 (00:40:55) (chat)  vorchashiy_dad: @AlexanderRoman дарова мистер wlgFlowers lfsT
23:37:36 (00:40:59) (chat)  XEScexy: @WELOVEGAMES ,поправь разрешение в ini файле
23:37:39 (00:41:01) (chat)  Disastrik: в стиме поставь -fullscreen в параметрах запуска
23:37:41 (00:41:04) (chat)  julia_vi1: wlgCorn wlgCorn wlgCorn
23:37:42 (00:41:05) (chat)  XotikoUa: Ухх музыка из Властелина колец
23:37:43 (00:41:05) (chat)  iSerg: Попробуй прописать свойства запуска, все так делали же в 00-ые
23:37:47 (00:41:09) (chat)  MR_OBSERVER_: почему музыка из Властелина колец?
23:37:47 (00:41:09) (chat)  OSuse: wlgWow
23:37:49 (00:41:11) (chat)  4iki_briki_pokemon: стример умный
23:37:50 (00:41:13) (chat)  StriBog45: PogChamp
23:37:51 (00:41:14) (chat)  Respya: Стример умён)
23:37:52 (00:41:14) (chat)  ASAGIUS: @GlebBio Ну, сейчас наверное
23:37:54 (00:41:16) (chat)  AleksProxy: умен
23:37:55 (00:41:17) (chat)  wakeUpNs1ng: цезарь Pog
23:37:56 (00:41:18) (chat)  OrangeLighTo: Pog
23:37:57 (00:41:19) (chat)  Aryzhikov: @WELOVEGAMES БОЖЕ!!! Одна из лучших стратегий в мире!
23:37:57 (00:41:20) (chat)  vitallikn: lizameRzmya lizameRzmya lizameRzmya
23:38:01 (00:41:23) (chat)  xottab: WutFace WutFace WutFace
23:38:01 (00:41:23) (chat)  Skvatorix: wlgThumb
23:38:01 (00:41:23) (chat)  dilvot: bjornD bjornD bjornD
23:38:02 (00:41:24) (chat)  Sporka: WutFace
23:38:02 (00:41:25) (chat)  SithAVGN: Получилось wlgHype
23:38:03 (00:41:25) (chat)  froxalt: WutFace
23:38:04 (00:41:26) (chat)  EragonJKee: скримеры опять
23:38:05 (00:41:27) (chat)  Sempai_77: DansGame
23:38:05 (00:41:27) (chat)  NIKZlo: wlgBoom wlgBoom wlgBoom
23:38:05 (00:41:27) (chat)  vorchashiy_dad: как ударило
23:38:06 (00:41:28) (chat)  AbstractBottom: wlgScared
23:38:07 (00:41:29) (chat)  v1t0_97: PogChamp
23:38:07 (00:41:29) (chat)  ErronSivors: Pog
23:38:08 (00:41:30) (chat)  Darkys120: ANELE ANELE
23:38:08 (00:41:30) (chat)  Nospire: Минус уши от банхаммера =)
23:38:08 (00:41:30) (chat)  julia_vi1: WutFace
23:38:09 (00:41:32) (chat)  SupremeLolka: wlgWow wlgWow
23:38:10 (00:41:32) (chat)  Ansaboff: Музыка на Lineage 2 похож была
23:38:10 (00:41:32) (chat)  GlebBio: @asagius dangarMLG dangarMLG dangarMLG dangarMLG
23:38:11 (00:41:33) (chat)  Nikolayviktorovich: WutFace
23:38:11 (00:41:33) (chat)  StriBog45: WutFace WutFace WutFace
23:38:13 (00:41:36) (chat)  Skvatorix: wlgBoom
23:38:14 (00:41:36) (chat)  STEELor47: @respya, не... ну если ты стример как минимум или тебя за это платят то да... а так... только если прям с друзьями вспомнить
23:38:14 (00:41:37) (chat)  AlizarV: что происходит?
23:38:15 (00:41:37) (chat)  RobotKitten: dizO dizO dizO dizO dizO dizO dizO dizO
23:38:17 (00:41:40) (chat)  Sempai_77: Воот так должен звучать бан хамер
23:38:18 (00:41:40) (chat)  ErronSivors: billyReady
23:38:18 (00:41:41) (chat)  HitBazooka: ResidentSleeper ResidentSleeper ResidentSleeper
23:38:19 (00:41:41) (chat)  captoe: Kreygasm Kreygasm Kreygasm
23:38:20 (00:41:42) (chat)  El_Psy_C0ngro0: Pog
23:38:20 (00:41:43) (chat)  textolite: wlgOralb wlgOralb
23:38:21 (00:41:43) (chat)  vorchashiy_dad: lfsOMG lfsOMG lfsOMG
23:38:23 (00:41:46) (chat)  vsemhoroso: @svsergeevna, anakLurk почему то я вспомнил фильм рокки,как он там к бою готовился,ты тоже там бегаешь и дрова рубишь?
23:38:24 (00:41:46) (chat)  EDIIS: Денис на заставке ? PogChamp
23:38:24 (00:41:46) (chat)  AlizarV: где диабло?
23:38:26 (00:41:48) (chat)  pr0st0_nastya: tvjuiceOmg tvjuiceOmg tvjuiceOmg
23:38:29 (00:41:51) (chat)  totsamyiharry: @owlfrosty а давно ты тут на канале?
23:38:29 (00:41:51) (chat)  palacht34: графа
23:38:30 (00:41:52) (chat)  4ezare: эээй, как это подписка уже 5долларов?(((
23:38:30 (00:41:52) (chat)  Sh1ki: майнкрафт
23:38:31 (00:41:53) (chat)  radius_kvadrata: PogChamp
23:38:32 (00:41:55) (chat)  Ed_Amosha: wlgWow
23:38:36 (00:41:59) (chat)  AViLovePlay: захотелось поиграть :(
23:38:37 (00:41:59) (chat)  STEELor47: @respya, я помню как я когда в нее играл меня бесило как медленно перс ходит
23:38:39 (00:42:01) (chat)  AlizarV: гильдия ?
23:38:41 (00:42:03) (chat)  Right__Knight: Какая игра скоро будет?
23:38:43 (00:42:05) (chat)  Chip30111989: мама учила крушить и ломать)
23:38:43 (00:42:05) (chat)  AlizarV: или че?
23:38:44 (00:42:06) (chat)  svsergeevna: @vsemhoroso ахахах))) не)))
23:38:44 (00:42:06) (chat)  wlgboy: скидка до 20% на продукцию ASUS. Приятных покупок с промокодом WLG по ссылке: https://vk.cc/9ivAk7
23:38:44 (00:42:06) (chat)  R1ddick: 12 fps Pog
23:38:45 (00:42:07) (chat)  indifferent_d: это про казахстан игра?
23:38:45 (00:42:07) (chat)  Sempai_77: Kreygasm Kreygasm
23:38:52 (00:42:14) (chat)  docent604: я помню когда в нее играл очень все голодные были )
23:38:55 (00:42:18) (chat)  kirillstars09: ResidentSleeper BloodTrail
23:39:00 (00:42:22) (chat)  ErronSivors: какого года эта игра?
23:39:01 (00:42:23) (chat)  BoodooPPL: слона жалко :(
23:39:03 (00:42:26) (chat)  zaopdyyy: Преторианцы что ль?
23:39:11 (00:42:33) (chat)  Aryzhikov: @WELOVEGAMES В 98 году у меня появился компьютер Vist1000, который рекламировал Фоменко) И 3 первые игры были- FIfa1998, Дальнобойщики и Цезарь3!!!
23:39:12 (00:42:34) (chat)  Pumpkin1253: шо за тотал вор
23:39:12 (00:42:34) (chat)  EragonJKee: SPQR! Поднять щиты за императора! karmikDef karmikDef karmikDef
23:39:12 (00:42:35) (chat)  Mrs_Christ: @ASAGIUS Будешь менять игру? wlgOralb
23:39:13 (00:42:35) (chat)  EDIIS: ааааа
23:39:15 (00:42:37) (chat)  captoe: peepoSprint
23:39:15 (00:42:38) (chat)  fanEW7: SMOrc SMOrc SMOrc
23:39:16 (00:42:38) (chat)  J0hn_Coffee: Астерикса и Обеликса на них нет
23:39:17 (00:42:39) (chat)  ASAGIUS: !game Caesar III
23:39:17 (00:42:39) (chat)  Nightbot: @ASAGIUS -> The stream game has been updated to: Caesar III
23:39:18 (00:42:40) (chat)  oxsiss11: FeelsRageMan
23:39:18 (00:42:41) (chat)  RobotKitten: @WELOVEGAMES Денис я тут недавно болтал на стриме у Диззи, про тебя говорили. он тебе привет передавал !))))
23:39:22 (00:42:45) (chat)  VitaliiVetal: Лихие 90 тые!!!
23:39:23 (00:42:45) (chat)  Myfta: WutFace
23:39:23 (00:42:46) (chat)  AViLovePlay: Россомаха ? PogChamp
23:39:24 (00:42:46) (chat)  wlgboy: хочешь узнать, когда будет следующий стрим? Подпишись на уведомления посредством личных сообщений ВКонтакте. Это удобно! https://vk.cc/9rSVZA
23:39:27 (00:42:49) (chat)  Respya: @STEELor47 А) А у меня сразу диск с HellFire'ом, я даже оригинальный не застал, поэтому у меня перс в городе "бегал". Просто мне норм играть, но это я под действием ностальгии спокойно её воспринимаю
23:39:33 (00:42:56) (chat)  Right__Knight: Друзья какая игра будет сегодня на стриме ?
23:39:36 (00:42:58) (chat)  SwampDoctor113: Иссусе Боже! Дьябла!
23:39:38 (00:43:00) (chat)  STEELor47: это афроамериканцы что ли? забанят же
23:39:38 (00:43:01) (chat)  AlizarV: цезарь 3
23:39:39 (00:43:01) (chat)  Bogda123: @WELOVEGAMES ты в red alert играл ? игра моего детства
23:39:39 (00:43:02) (chat)  vsemhoroso: @svsergeevna, anakLurk значит у тебя сила воли есть,меня обычно закармливают и с собой еды дают в дорожку
23:39:44 (00:43:06) (chat)  Mrs_Christ: Асагиус такой молодец
23:39:48 (00:43:11) (chat)  fertonok: 98
23:39:54 (00:43:17) (chat)  Destinety: о, анимация, как в Андромеде
23:39:55 (00:43:17) (chat)  totsamyiharry: @owlfrosty может потерялся вопрос, давно влг смотришь?
23:39:58 (00:43:20) (chat)  Chip30111989: ЭПОХА ИМПЕРИИ ТОЖЕ В 95 ГОДУ )
23:40:00 (00:43:22) (chat)  vorchashiy_dad: @ASAGIUS дарова желток lfsA
23:40:00 (00:43:22) (chat)  pvay: @Mrs_Christ Kappa
23:40:04 (00:43:26) (chat)  wlgboy: ВНИМАНИЕ! До конца сентября скидка 50% на подписку и переподписку! Порадуй стримера и себя! Kappa //
23:40:04 (00:43:26) (chat)  overmouse: @WELOVEGAMES цезарь цезарем, но the Settlers никто не перебьет Keepo Ремастер скоро PogChamp
23:40:04 (00:43:27) (chat)  STEELor47: @respya, под действием ностальгии много во что можно поиграть)
23:40:06 (00:43:28) (chat)  lLinCOLNl: @right__knight Surge 2
23:40:11 (00:43:33) (chat)  ASAGIUS: @vorchashiy_dad wlg5
23:40:13 (00:43:35) (chat)  AlizarV: а чего с диабло?
23:40:16 (00:43:38) (chat)  DredastyCat: @WELOVEGAMES Привет )) привет чату )
23:40:19 (00:43:41) (chat)  BobyZi: wlg5 wlgF
23:40:21 (00:43:43) (chat)  Mrs_Christ: @pvay Я серьезно LurkMode
23:40:26 (00:43:49) (chat)  totsamyiharry: @dredastycat wlg5 wlg5 wlg5
