17:02:06 (00:00:30) (chat)  anksi: Kreygasm Kreygasm
23:30:32 (01:02:07) (comm)  AfrikanSidorovi4: ох лол
18:03:44 (01:02:08) (chat)  denndger: 👍👍👍👍👍👍👍
18:03:55 (01:02:19) (chat)  wlgboy: хочешь узнать, когда будет следующий стрим? Подпишись на уведомления посредством личных сообщений ВКонтакте. Это удобно! https://vk.cc/9rSVZA
18:03:56 (01:02:19) (chat)  fertonok: @bobuika, Бооооо Pog
18:03:56 (01:02:19) (chat)  bobuika: @mr_n_i_k_t_o предположу что активность в чате
18:03:58 (01:02:21) (chat)  elnar88: Отдельный стрим где Денис будет падать в вулкан? LUL
18:03:58 (01:02:22) (chat)  wisemars: wlgBoom
18:04:02 (01:02:25) (chat)  RomikBLitz: Так а их спасли потом?
18:04:06 (01:02:29) (chat)  radiocatmel: Либо в группе вк Дениса в комментариях
18:04:09 (01:02:32) (chat)  ServiceNomaD: @mr_n_i_k_t_o твоё присутствие
18:04:12 (01:02:36) (chat)  Moon1982: @fertonok хах да :)
18:04:14 (01:02:37) (chat)  bobuika: @fertonok фертенок igorVjuh wlgMug
18:04:15 (01:02:38) (chat)  koteg: в обнимку со Снейлом
18:04:20 (01:02:44) (chat)  K0valskyII: @ly4iferka носи на здоровье
18:04:28 (01:02:51) (chat)  gatarelub: приветики всем
18:04:31 (01:02:54) (chat)  Vyacheslav11: Такими темпами стримы только по этой игре годы займут
18:04:33 (01:02:56) (chat)  denndger: на ноги повесь!
18:04:33 (01:02:57) (chat)  fertonok: @gatarelub, привет
18:04:33 (01:02:57) (chat)  LionSPb: @gatarelub привет wlg5 wlgOralb
18:04:34 (01:02:57) (chat)  Scorgello: @mr_n_i_k_t_o в теории стимулирует дольше смотреть стримы и привлекает новых зрителей
18:04:35 (01:02:59) (chat)  wlgboy: переходи по ссылке vk.cc/9OYaHK и приобретай новую улучшенную бритву Gillette Fusion 5 ProGlide. Это выбор настоящего мужика. Начни с себя. Ведь гладко в жизни – гладко во всем! С Gillette любая твоя катка будет гладкой.
18:04:36 (01:02:59) (chat)  LudaHicava: @gatarelub wlg5 wlgGillette
18:04:39 (01:03:02) (chat)  Takeshi13: @gatarelub здравствуй)
18:04:43 (01:03:06) (chat)  josmirus: падая в жерло
18:04:44 (01:03:07) (chat)  ScaryTale: кста давненько не было слышно Бейла, для поездок на машине подошло бы
18:04:51 (01:03:15) (chat)  MyZem: в 2020
18:04:53 (01:03:17) (chat)  gatarelub: обнимает @fertonok
18:04:58 (01:03:21) (chat)  Moon1982: @mr_n_i_k_t_o никакого посути это как было раньше только уже силма самого твитч а не разных ботов :)
18:04:59 (01:03:22) (chat)  krolikkkk: я только за
18:05:00 (01:03:23) (chat)  l2helios: watch?v=TBG8Y_nkQA0
18:05:02 (01:03:25) (chat)  KerTilz: Твоя экипировка - мечта доставщика пиццы @WELOVEGAMES
18:05:03 (01:03:27) (chat)  EDIIS: найс рюкзак ))
18:05:04 (01:03:27) (chat)  mejsler: @WELOVEGAMES у тебя грязь на лице
18:05:06 (01:03:29) (chat)  l2helios: LUL LUL
18:05:06 (01:03:30) (chat)  gatarelub: @LionSPb @LudaHicava @Takeshi13 wlg5
18:05:08 (01:03:32) (chat)  denndger: почему на ногах нет груза????
18:05:09 (01:03:32) (chat)  AttentionSilver: Ковальски нужна помощь GreenTeam
18:05:11 (01:03:34) (chat)  Shiki228: olyashRoflan olyashRoflan
18:05:11 (01:03:34) (chat)  kohb_dolbak: @welovegames симулятор доставщика Uber Eats
18:05:11 (01:03:34) (chat)  hans_enroses: @WELOVEGAMES привет, Денис! ! 2 филадельфии с крабом и 2 шавухи в сырном лаваше! Через сколько доставите?
18:05:13 (01:03:36) (chat)  elvendill: че за пизанская ьашня?
18:05:15 (01:03:38) (chat)  BehemothDi: NotLikeThis NotLikeThis NotLikeThis NotLikeThis
18:05:16 (01:03:39) (chat)  serega_tot_sambiy: @WELOVEGAMES Мне на работу, просто, надо успеть до 20:00 Kappa
18:05:16 (01:03:40) (chat)  myhed: @WELOVEGAMES а ты не пробовал машину к почте подвезти и разгружать прям оттуда? ты можешь перекинуть груз не нося на себе
18:05:19 (01:03:42) (chat)  Adept_Sun: Добрый день aqulaCreep
18:05:25 (01:03:48) (chat)  houstonus: @WELOVEGAMES Денис , из какой глины посоветуешь глиняные палки против гемороя?
18:05:25 (01:03:49) (chat)  LionSPb: @adept_sun здравствуй wlg5 wlgOralb
18:05:26 (01:03:49) (chat)  K0valskyII: K0valskyII gifted a Tier 1 sub to KerTilz! They have given 2 Gift Subs in the channel! 
18:05:26 (01:03:49) (chat)  Random____: wlg5
18:05:26 (01:03:49) (chat)  followmason: LUL LUL LUL
18:05:26 (01:03:50) (chat)  Do4ka1: Kappa Kappa
18:05:27 (01:03:51) (chat)  DimanPog: LUL
18:05:27 (01:03:51) (chat)  slovov: с моим штруделем там поосторожнее, пожалуйста
18:05:29 (01:03:53) (chat)  Fomikrai: wlgPeka Kappa
18:05:29 (01:03:53) (chat)  MyZem: LUL LUL LUL
18:05:29 (01:03:53) (chat)  LionSPb: wlg5 wlg5 wlg5 wlg5
18:05:30 (01:03:53) (chat)  Vyacheslav11: играю сам в другие игры, и параллельно смотрю стрим
18:05:30 (01:03:53) (chat)  Washded: Kappa Kappa Kappa Kappa
18:05:31 (01:03:54) (chat)  LudaHicava: wlg5 wlg5 wlg5
18:05:31 (01:03:54) (chat)  Takeshi13: wlg5 wlg5 wlg5
18:05:32 (01:03:56) (chat)  serega_tot_sambiy: FBBlock
18:05:33 (01:03:56) (chat)  Nospire: wlg5 wlg5 wlg5 OWL2019Tracer OWL2019Tracer
18:05:33 (01:03:56) (chat)  fertonok: wlg5 wlg5 wlg5
18:05:33 (01:03:57) (chat)  shubka75: D:
18:05:33 (01:03:57) (chat)  5cankhunt42: бьет как девчонка
18:05:34 (01:03:57) (chat)  maj0r_Kusanagi: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
18:05:35 (01:03:59) (chat)  wlgboy: прослушать саундтрек из Death Stranding можно по ссылке: https://vk.cc/a02mfe
18:05:36 (01:04:00) (chat)  KerTilz: @K0valskyII, спасибо за подписку в подарок!
18:05:37 (01:04:01) (chat)  bobuika: wlg5 wlg5 wlg5 wlg5
18:05:37 (01:04:01) (chat)  BehemothDi: wlg5 wlg5 wlg5 wlg5
18:05:38 (01:04:01) (chat)  PupkaNyash: wlg5 wlg5 wlg5
18:05:38 (01:04:01) (chat)  wanqoast: wlg5 wlg5 wlg5 wlg5 wlg5
18:05:39 (01:04:02) (chat)  froxalt: это какая глава?
18:05:39 (01:04:02) (chat)  Fomikrai: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
18:05:39 (01:04:03) (chat)  SHOOMA: wlg5 wlg5 wlg5 wlg5
18:05:40 (01:04:03) (chat)  runx: wlg5 wlg5 wlg5 wlg5 wlg5
18:05:40 (01:04:04) (chat)  PervyiIzKosmosa: Kappa // Kappa // Kappa // Kappa // Kappa //
18:05:41 (01:04:04) (chat)  gromyca: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
18:05:43 (01:04:07) (chat)  vovabro3: Я уже купил игру уже в пути скоро буду играть, а так смотрю не известного блогера =)))
18:05:45 (01:04:08) (chat)  Taemp: wlg5 wlg5
18:05:45 (01:04:08) (chat)  Adept_Sun: @LionSPb aqulaHey
18:05:46 (01:04:09) (chat)  josmirus: юмор уровня b
18:05:47 (01:04:10) (chat)  FOXLs: Играю сам. Но пока не особо сюжет, можно поприсутствовать)
18:05:49 (01:04:12) (chat)  kiLLzy666: вот это рофлы детсадовские
18:05:49 (01:04:12) (chat)  LudaHicava: @adept_sun wlg5 wlgGillette
18:05:49 (01:04:12) (chat)  ScaryTale: кто бы мне подпиську задарил Kappa
18:05:50 (01:04:14) (chat)  fffcat: Здравстыуйте Денис и чатик
18:05:56 (01:04:20) (chat)  slovov: roddContent
18:05:57 (01:04:21) (chat)  LionSPb: @fffcat здравствуй wlg5 wlgOralb
18:05:58 (01:04:21) (chat)  mejsler: @WELOVEGAMES у тебя есть список готовых ответов? грац, даже к чату подготовился
18:06:02 (01:04:25) (chat)  Adept_Sun: @LudaHicava aqulaHey
18:06:05 (01:04:29) (chat)  LudaHicava: @fffcat wlg5 wlgGillette
18:06:08 (01:04:31) (chat)  UnderControl21: -/+*-*+
18:06:08 (01:04:31) (chat)  Moon1982: @K0valskyII нужно больше ПОДАРКОФ !
18:06:09 (01:04:32) (chat)  Refokkusu: @vovabro3 wlgThumb
18:06:10 (01:04:33) (chat)  liiking: у этой игры конец есть?
18:06:15 (01:04:38) (chat)  Do4ka1: изи
18:06:15 (01:04:39) (chat)  wlgboy: видеоинструкция по баллам канала от стримера: youtu.be/rK3z4rnQV3Y
18:06:20 (01:04:43) (chat)  KuLi4ek: тогдаб было б неинтересно а так
18:06:27 (01:04:50) (chat)  estonf: Kappa
18:06:29 (01:04:52) (chat)  runx: слишком легко LUL нужно прочувствовать боль
18:06:32 (01:04:55) (chat)  Vahapet: 12 ноября Твитч отключает возможность писать комментарии с просматриваемому видео. Теперь нельзя будет поговорить с записями...
18:06:33 (01:04:56) (chat)  denndger: почему на ногах нет грузов????????
18:06:33 (01:04:56) (chat)  ockar: отдельную кнопку? боже ты посигнул на гениальность гения?
18:06:35 (01:04:58) (chat)  wlgboy: @Llirikkorty вы вернулись из пустоши - залог возвращен. Медперсонал убежища заметил у вас в костюме прокол. Необходимо провести обследование. Это займет 165 секунд. Вы смогли найти мешочек с 19 крышечками. Теперь на вашем балансе 18272 крышечки.
18:06:38 (01:05:01) (chat)  JohnS31: @WELOVEGAMES не хочешь потрать эти материалы на строительство шоссе?
18:06:39 (01:05:02) (chat)  followmason: @liiking Выход на пенсию - конец, если доижвёт
18:06:40 (01:05:03) (chat)  houstonus: всем спамят в лс?
18:06:44 (01:05:07) (chat)  Min_Payne: открыть меню, чтобы открыть меню, чтобы переместить в другое меню
18:06:47 (01:05:10) (chat)  josmirus: гениальная недоработка
18:06:51 (01:05:14) (chat)  FOXLs: А так игра топич
18:06:54 (01:05:17) (chat)  Moon1982: @slovov ооо Родд контент подкатил :D
18:07:00 (01:05:23) (chat)  ServiceNomaD: @welovegames в таком случае будь на нашем месте, ты не смотрел бы. И все стримеры умерли бы с голоду wlgDen
18:07:06 (01:05:29) (chat)  fertonok: @houstonus cmonBruh
18:07:07 (01:05:31) (chat)  Otem__Metaform: Логистика - это тебе не в тапки ссать
18:07:10 (01:05:33) (chat)  Maga777maga: А через треугольник не получаеться !? Там же написано автозагрузка
18:07:13 (01:05:37) (chat)  fox6fox: инвентаризация не продумана
18:07:14 (01:05:37) (chat)  Droctar: @WELOVEGAMES наверное ХИРАЛИОН
18:07:15 (01:05:38) (chat)  Filin_Filin: @WELOVEGAMES Денис привет как игра? Стоит ли внимания к ней?
18:07:35 (01:05:59) (chat)  denndger: под ногами есть круг он показывает баланс!!!!!
18:07:42 (01:06:05) (chat)  Min_Payne: логистика- это в гранаты ссать
18:07:47 (01:06:11) (chat)  wlgboy: @ninnao_0 вы вернулись из пустоши - залог возвращен. Вы обнаружили редкий сундучок с 91 крышечкой. Теперь на вашем балансе 20503 крышечки.
18:07:51 (01:06:14) (chat)  DragonLordGamer: @WELOVEGAMES Хранитель, я читал что примерно 150 часов нужно на получение платины, всех ачивок, так сказать. Сюжетная составляющая на 30 - 40 часов.
18:07:52 (01:06:15) (chat)  Moon1982: @WELOVEGAMES где то слышал что заставок в игре 7-8 часов но это не точно
18:07:53 (01:06:16) (chat)  Tonymafacka: А шо за смысл , бегать коробки собирать и всё? Ну ёмаё...
18:07:54 (01:06:18) (chat)  Do9mat: Кто копит на сибирь 3, сознавайтесь? х)
18:07:57 (01:06:21) (chat)  katanajapan: +
18:08:05 (01:06:29) (chat)  DarkAstael: ага
18:08:07 (01:06:30) (chat)  Allmazze: Почему большинство считаю Кодзиму гением? Что он натворил такого?
18:08:09 (01:06:33) (chat)  arteta35ru: ку
18:08:10 (01:06:33) (chat)  uga4akaugauga: @Do9mat Я
18:08:11 (01:06:34) (chat)  K0valskyII: @WELOVEGAMES Восстанавливаю стрики)
18:08:13 (01:06:36) (chat)  serega_tot_sambiy: CoolStoryBob
18:08:15 (01:06:38) (chat)  VANCHOBA: а я новечек))
18:08:18 (01:06:42) (chat)  ilich3250: OhMyDog PixelBob PixelBob
18:08:23 (01:06:46) (chat)  PRbIGA: @welovegames посмотри на автотрассу
18:08:24 (01:06:47) (chat)  Nick_TIRONE: @fertonok, привет
18:08:24 (01:06:48) (chat)  Skill_Striker: wlgFlowers
18:08:26 (01:06:49) (chat)  karburaktor: Maga777maga: что делаеть? палучаеться?
18:08:27 (01:06:50) (chat)  Lerson_: Если я не понимаю Черный квадрат Малевича. Смогу ли я понять игру ?
18:08:29 (01:06:52) (chat)  josmirus: маркетологи так сказали
18:08:30 (01:06:53) (chat)  fensmart: Кодзима - имя, Гений - фамилия, все же просто
18:08:30 (01:06:54) (chat)  KerTilz: @WELOVEGAMES привет Денис, еще раз спасибо @K0valskyII
18:08:32 (01:06:55) (chat)  Shiki228: хочу быть жертвой(
18:08:33 (01:06:56) (chat)  kiLLzy666: Че за безд@рь на стримере NotLikeThis
18:08:35 (01:06:59) (chat)  wlgboy: розыгрыши, мемы, игровые новости, анонсы стримов, музыка в нашем сообществе ВКонтакте: vk.com/welovegames
18:08:37 (01:07:00) (chat)  LudaHicava: @dragonlordgamer ох ё wlgCry
18:08:38 (01:07:01) (chat)  PupsikTvoy: реро реро LUL
18:08:39 (01:07:02) (chat)  fertonok: @nick_tirone, привет
18:08:39 (01:07:02) (chat)  dryadshaman: дарить подписку это как связать человека в пустоши и затащить в убежище?)) @WELOVEGAMES
18:08:40 (01:07:03) (chat)  fox6fox: ну на Сибирь 3 твои дети ещё будут копить
18:08:41 (01:07:04) (chat)  Skill_Striker: Kappa wlgFlowers
18:08:43 (01:07:06) (chat)  VANCHOBA: а я новичок)) всем привет) vancho1Hi
18:08:49 (01:07:13) (chat)  Nata_Bulldog: Ден, покажи свою аватарку в игре)
18:08:51 (01:07:14) (chat)  LionSPb: @vanchoba привет wlg5 wlgOralb
18:08:51 (01:07:14) (chat)  wpSagot: meleeJOJO rero rero rero rero
18:08:51 (01:07:14) (chat)  ScaryTale: дарова
18:08:55 (01:07:19) (chat)  wlgboy: хочешь узнать, когда будет следующий стрим? Подпишись на уведомления посредством личных сообщений ВКонтакте. Это удобно! https://vk.cc/9rSVZA
18:09:01 (01:07:24) (chat)  denndger: проверь баланс, это круг под ногами
18:09:03 (01:07:26) (chat)  krakus0: добрый день
18:09:07 (01:07:30) (chat)  LudaHicava: @vanchoba wlg5 wlgGillette
18:09:09 (01:07:33) (chat)  LionSPb: @krakus0 здравствуй wlg5 wlgOralb
18:09:12 (01:07:35) (chat)  Fomikrai: Kermitpls
18:09:15 (01:07:38) (chat)  LudaHicava: wlgGillette
18:09:16 (01:07:40) (chat)  polkilo___: wlg5 wlg5
18:09:16 (01:07:40) (chat)  Sanman67: Всем привет
18:09:19 (01:07:42) (chat)  jfrostt: SSSsss SSSsss
18:09:20 (01:07:43) (chat)  ChlamydiaEvgrafovna: !wasteland
18:09:20 (01:07:43) (chat)  wlgboy: @ChlamydiaEvgrafovna вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 56 минут.
18:09:20 (01:07:44) (chat)  Sporka: wlgGillette wlgGillette wlgGillette
18:09:21 (01:07:45) (chat)  krakus0: HeyGuys
18:09:21 (01:07:45) (chat)  fertonok: @krakus0, добрый
18:09:22 (01:07:45) (chat)  elnar88: @WELOVEGAMES Если бы я не знал тебя, то подумал бы что стримит какой заключенный который сбежал из тюрьмы LUL
18:09:23 (01:07:46) (chat)  LionSPb: @sanman67 привет wlg5 wlgOralb
18:09:25 (01:07:49) (chat)  Maga777maga: @karburaktor Работая,слушаю)сам как!?}
18:09:28 (01:07:52) (chat)  wanqoast: wlg5 wlg5 wlg5 wlg5
18:09:30 (01:07:53) (chat)  fertonok: @sanman67, привет
18:09:32 (01:07:55) (chat)  Takeshi13: @sanman67 привет
18:09:32 (01:07:55) (chat)  wiegedood: Kermitpls
18:09:34 (01:07:57) (chat)  VANCHOBA: @LionSPb @LudaHicava vancho1Hi
18:09:34 (01:07:57) (chat)  arcangenius: wlgPeka
18:09:34 (01:07:58) (chat)  KuLi4ek: нет это как взять бомжа и накормить и приютить
18:09:38 (01:08:02) (chat)  farmhandishka: Пропустил начало игры, когда будет запись выложена?
18:09:40 (01:08:03) (chat)  LudaHicava: @welovegames получается ты серийный маньяк wlgGillette
18:09:40 (01:08:04) (chat)  Vyacheslav11: Мне интересно: стример вообще обращает внимание на выделенные сообщения в чате?
18:09:40 (01:08:04) (chat)  Nick_TIRONE: wlgGillette wlgGillette wlgGillette wlgGillette wlgGillette
18:09:41 (01:08:04) (chat)  fensmart: Осуждаю стримера
18:09:44 (01:08:07) (chat)  funstreem: ифт,
18:09:45 (01:08:08) (chat)  Taemp: фултона не хватает
18:09:50 (01:08:13) (chat)  terraneo_i7: А когда игра то уже начнется? или вот и все это оно? гениальное?
18:09:50 (01:08:13) (chat)  funstreem: bhan?
18:09:51 (01:08:14) (chat)  fox6fox: КОДЗИМА гений пошло от какого то блогера вроде
18:09:52 (01:08:16) (chat)  fertonok: @fensmart, cmonBruh
18:09:56 (01:08:19) (chat)  Kum7: wlgBored wlgBored wlgBored
18:09:59 (01:08:22) (chat)  PervyiIzKosmosa: Jebaited
18:10:01 (01:08:25) (chat)  K0valskyII: Длинные стрики закончились. Ишу старых зрителей.
18:10:03 (01:08:26) (chat)  josmirus: осуждаю осуждения
18:10:04 (01:08:28) (chat)  fertonok: @kum7, BLELELE
18:10:05 (01:08:28) (chat)  NightRidge: wlgOralb
18:10:07 (01:08:30) (chat)  Zlatusya: Стример знает что можно загрузить в тачку шмот?
18:10:09 (01:08:32) (chat)  beljar: wlgAsm
18:10:12 (01:08:35) (chat)  J_e_k_a: Интересно Индии зайдет такая игра?
18:10:13 (01:08:37) (chat)  Zlatusya: Стример чсв
18:10:14 (01:08:38) (chat)  Min_Payne: @WELOVEGAMES а грузовые вертолеты в этом мире еще не придумали?
18:10:16 (01:08:39) (chat)  WaldemarVovan: sharishaCoolStory sharishaCoolStory
18:10:17 (01:08:40) (chat)  Kum7: @fertonok wlgFlowers
18:10:20 (01:08:43) (chat)  fertonok: @nightridge, wlg5
18:10:22 (01:08:46) (chat)  K0valskyII: K0valskyII gifted a Tier 1 sub to PervyiIzKosmosa! They have given 3 Gift Subs in the channel! 
18:10:26 (01:08:49) (chat)  LionSPb: wlg5 wlg5 wlg5 wlg5
18:10:27 (01:08:50) (chat)  uga4akaugauga: !followage
18:10:27 (01:08:51) (chat)  Takeshi13: wlg5 wlg5 wlg5
18:10:29 (01:08:52) (chat)  Nightbot: uga4akaugauga has been following WELOVEGAMES for 6 years, 4 months, 6 days, 17 hours, 3 minutes, 42 seconds
18:10:31 (01:08:54) (chat)  bobuika: wlg5 wlg5 wlg5 wlg5 wlg5
18:10:32 (01:08:55) (chat)  LudaHicava: @sanman67 wlg5 wlgGillette
18:10:32 (01:08:55) (chat)  ChlamydiaEvgrafovna: wlg5 wlg5
18:10:32 (01:08:56) (chat)  Zlatusya: wlg5 wlg5 wlg5 wlg5
18:10:33 (01:08:57) (chat)  fertonok: wlg5 wlg5 wlg5
18:10:34 (01:08:57) (chat)  belka__letyaga: wlg5
18:10:35 (01:08:58) (chat)  Devywka_Valerianka: wlg5 wlg5 wlg5 wlg5
18:10:35 (01:08:58) (chat)  LudaHicava: wlg5 wlg5 wlg5
18:10:35 (01:08:59) (chat)  wlgboy: прослушать саундтрек из Death Stranding можно по ссылке: https://vk.cc/a02mfe
18:10:36 (01:09:00) (chat)  PupkaNyash: а стример вообще что-нибудь знает Kappa
18:10:40 (01:09:03) (chat)  KerTilz: @WELOVEGAMES кстати, тебя уже спрашивали как переводится Death Stranding? А что ты ответил?
18:10:40 (01:09:04) (chat)  wlgboy: @Nick_Tirone вы вернулись из пустоши - залог возвращен. Вы обнаружили редкий сундучок с 79 крышечками. Теперь на вашем балансе 3409 крышечек.
18:10:41 (01:09:04) (chat)  karimov_dark: nutraaShype nutraaShype nutraaShype nutraaShype nutraaShype
18:10:41 (01:09:05) (chat)  NightRidge: @fertonok, nightr8Hi wlgLuv
18:10:43 (01:09:06) (chat)  PervyiIzKosmosa: @K0valskyII, спасибо за подписку в подарок! wlgHype
18:10:45 (01:09:08) (chat)  fertonok: !wasteland
18:10:45 (01:09:08) (chat)  karimov_dark: nutraaHi nutraaHi nutraaHi nutraaHi nutraaHi nutraaHi nutraaHi
18:10:45 (01:09:08) (chat)  wlgboy: @fertonok вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 38 минут.
18:10:51 (01:09:14) (chat)  doomerr: @WELOVEGAMES ну что интерес остаётся, спустя такое время?
18:10:53 (01:09:17) (chat)  pozzittiv1: alinar4HI
18:10:54 (01:09:17) (chat)  Taemp: гениальный подход к интерфейсу инвентаря
18:10:55 (01:09:19) (chat)  relagent: !wasteland
18:10:56 (01:09:19) (chat)  wlgboy: @relagent вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 48 минут.
18:10:56 (01:09:19) (chat)  ayxan7505: Гений
18:10:56 (01:09:19) (chat)  watashi_wa_niki_desu: wlgOralb
18:10:59 (01:09:22) (chat)  geelvi: Маленький чёрный ящик это слитый девкит PS5??? PogChamp
18:11:00 (01:09:24) (chat)  hans_enroses: потому, что гений делал
18:11:02 (01:09:25) (chat)  SadFeelMan: wlgF5 wlgF5 wlgF5
18:11:05 (01:09:28) (chat)  chlen_17cm_: тогда ьы это было не гениально
18:11:05 (01:09:28) (chat)  Ast3rio: Это было бы не гениально
18:11:09 (01:09:32) (chat)  kirruta: гений
18:11:09 (01:09:33) (chat)  J_e_k_a: Тем Кадзима и гений, а ты вон глупый
18:11:10 (01:09:33) (chat)  runx: гениально LUL
18:11:13 (01:09:36) (chat)  Haksu: wlgPeka
18:11:13 (01:09:37) (chat)  LudaHicava: @pervyiizkosmosa с возвращением wlgCheers wlgDen wlgFlowers
18:11:14 (01:09:37) (chat)  Takeshi13: @pervyiizkosmosa ну вот теперь можно и сабмод включать Kappa
18:11:15 (01:09:38) (chat)  Belkaperdelka: Таков замысел гения! wlgSad
18:11:15 (01:09:39) (chat)  wlgboy: скидка до 20% на продукцию ASUS. Приятных покупок с промокодом WLG по ссылке: https://vk.cc/9ivAk7
18:11:18 (01:09:41) (chat)  Sanman67: Всем привет ! А что за камера у стримера ?
18:11:19 (01:09:42) (chat)  wiegedood: Kermitpls
18:11:19 (01:09:42) (chat)  EDIIS: это гениальное расположение, ты не понимаешь
18:11:22 (01:09:45) (chat)  houstonus: Кодзима НЕ Гений!
18:11:23 (01:09:46) (chat)  fensmart: Не думаю что это персонально Кодзима разрабатывал)
18:11:23 (01:09:47) (chat)  PRbIGA: @welovegames обратите внимание на трассу на горизонте кажется ее достроили
18:11:26 (01:09:49) (chat)  zenitchempion7: гениальные вещи не все могут понять
18:11:30 (01:09:53) (chat)  Moon1982: @K0valskyII ЕЩЕ БОЛЬШЕ коробочек ! PogChamp Keepo
18:11:31 (01:09:54) (chat)  siddha: Все могут критиковать Гения!!!
18:11:31 (01:09:55) (chat)  slovov: а че сегодня на стриме нет кодзимы?. он бы ответил...
18:11:33 (01:09:56) (chat)  koteg: не все могут понять гениальные идеи
18:11:33 (01:09:57) (chat)  Takeshi13: @sanman67 wlgOralb дорогая камера
18:11:36 (01:09:59) (chat)  farmhandishka: Денис - гений?
18:11:36 (01:10:00) (chat)  PervyiIzKosmosa: @LudaHicava wlgHype
18:11:37 (01:10:00) (chat)  PupkaNyash: !wlgboy
18:11:37 (01:10:00) (chat)  KuLi4ek: неслушайте его он непонел его гениальность
18:11:39 (01:10:02) (chat)  watashi_wa_niki_desu: ЭТО ГЕНИАЛЬНО!
18:11:42 (01:10:06) (chat)  Fomikrai: ишь че захотел, гениальность снизить wlgPeka
18:11:47 (01:10:10) (chat)  hairypeter: uber food симулятор
18:11:47 (01:10:10) (chat)  MayKun__: @WELOVEGAMES, ну если бы он так сделал, то геймплей бы сократился часов на пятьдесят))
18:11:48 (01:10:11) (chat)  PervyiIzKosmosa: @Takeshi13 Kappa
18:11:48 (01:10:12) (chat)  VityaSolaris: weSmart
18:11:50 (01:10:13) (chat)  josmirus: да ладно вам, инди за 4500
18:11:50 (01:10:14) (chat)  RomikBLitz: @welovegames Во всех японских игр такие мудренные интерфейсы
18:11:51 (01:10:14) (chat)  5cankhunt42: @WELOVEGAMES по твоему ты лучший гейм-дизайнер, чем Кодзима?
18:11:51 (01:10:14) (chat)  Sanman67: @Takeshi13 Да я модельку хотел бы знать
18:11:53 (01:10:16) (chat)  dannypetro: Это гениально
18:11:55 (01:10:18) (chat)  allokyofficial: PogChamp гениально
18:11:55 (01:10:18) (chat)  wiegedood: Kermitpls
18:11:57 (01:10:21) (chat)  MotorchikGood: КАК ЖЕ ЭТО ГЕНИАЛЬНО!
18:12:01 (01:10:24) (chat)  Belkaperdelka: Ну гениально же!!!!
18:12:10 (01:10:33) (chat)  DarkAstael: это вам, это опять вам, и еще раз вам :)
18:12:11 (01:10:34) (chat)  elnar88: и в итоге отдаем тебе не твой заказ
18:12:14 (01:10:37) (chat)  mr_diligent: привет Денис привет чат wlgCheers wlg5
18:12:15 (01:10:38) (chat)  LudaHicava: какой пакет? где? wlgDen
18:12:15 (01:10:39) (chat)  Takeshi13: @sanman67 wlgPeka секрет фирмы
18:12:16 (01:10:39) (chat)  geelvi: Почта России
18:12:16 (01:10:40) (chat)  runx: гениально
18:12:17 (01:10:40) (chat)  PRbIGA: @welo обратите внимание на трассу на горизонте кажется ее достроили
18:12:22 (01:10:45) (chat)  LionSPb: @mr_diligent привет wlg5 wlgOralb
18:12:24 (01:10:48) (chat)  Takeshi13: @mr_diligent wlg5 wlgHype
18:12:26 (01:10:49) (chat)  katalizator24: wlgHype
18:12:26 (01:10:49) (chat)  fensmart: А ещё ведь спиной на коробки смотрит! Ну гений же!
18:12:27 (01:10:50) (chat)  Nimferna: доброе утро kaypikeHEART
18:12:33 (01:10:57) (chat)  LionSPb: @nimferna здравствуй wlg5 wlgOralb wlgFlowers
18:12:41 (01:11:04) (chat)  mr_diligent: @LionSPb @Takeshi13 wlg5
18:12:41 (01:11:05) (chat)  LudaHicava: @mr_diligent wlg5 wlgGillette
18:12:43 (01:11:07) (chat)  dezmond774: как он столько коробок над головой носит NotLikeThis
18:12:44 (01:11:07) (chat)  DarkAstael: wlgF5
18:12:45 (01:11:08) (chat)  slovov: в метал гире и то были вкладки roddPhil
18:12:45 (01:11:08) (chat)  karimov_dark: Неплохо такой симулятор доставщика
18:12:48 (01:11:11) (chat)  karimov_dark: CoolStoryBob CoolStoryBob
18:12:48 (01:11:11) (chat)  Nimferna: @lionspb kaypikeHEART
18:12:51 (01:11:14) (chat)  fertonok: @nimferna, доброе) но уже день
18:12:52 (01:11:15) (chat)  Takeshi13: @nimferna wlg5 wlgFlowers
18:12:59 (01:11:23) (chat)  mr_diligent: @LudaHicava wlgCheers
18:13:00 (01:11:24) (chat)  anksi: хилка
18:13:06 (01:11:29) (chat)  Nimferna: @fertonok @takeshi13 popkor1Love
18:13:08 (01:11:31) (chat)  nikakoy: а зачем двое ботинок с собой? они тут так быстро изнашиваются чтоли?
18:13:08 (01:11:31) (chat)  wlgboy: @RinaRuina вы вернулись из пустоши - залог возвращен. Вы обнаружили редкий сундучок с 54 крышкечами. Теперь на вашем балансе 1549 крышечек.
18:13:11 (01:11:34) (chat)  josmirus: красная полоска
