03:33:55 (00:00:00) (comm)  S1mplerV: !гз
22:22:18 (01:50:25) (chat)  GlebBio: @beskr1l_ wlgFlowers wlgFlowers wlgFlowers
22:22:22 (01:50:29) (chat)  Nospire: wlg5 wlg5 wlg5 OWL2019Tracer OWL2019Tracer OWL2019Tracer
22:22:24 (01:50:31) (chat)  axanadr: твой лазер так громко стреляет
22:22:24 (01:50:31) (chat)  Eu6ene: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
22:22:24 (01:50:32) (chat)  COK_: wlg5 wlg5 wlg5 wlg5 wlg5
22:22:28 (01:50:35) (chat)  anunax_x: @WELOVEGAMES вы цветок не завалите сначала стену в аду вальните
22:22:29 (01:50:36) (chat)  ARDRU_: wlg5 wlg5 wlg5 wlg5
22:22:32 (01:50:39) (chat)  Kawasomy: @Respya PogChamp
22:22:33 (01:50:40) (chat)  KatzBalgerr: @beskr1l_ приветствую Вас, месье стример LurkMode
22:22:33 (01:50:40) (chat)  Eu6ene: !caps
22:22:33 (01:50:41) (chat)  wlgboy: @Eu6ene ваш баланс составляет 1054 крышечки.
22:22:40 (01:50:47) (chat)  Eu6ene: !sell
22:22:41 (01:50:48) (chat)  wlgboy: ВНИМАНИЕ! До конца сентября скидка 50% на подписку и переподписку! Порадуй стримера и себя! Kappa //
22:22:45 (01:50:52) (chat)  GRIFSTGAMES: Плантера после перехода на хардмод
22:22:47 (01:50:54) (chat)  lexa7771233: 4Head файнл босс дыа
22:22:55 (01:51:02) (chat)  lucifer_the: а они убивали стену плоти?
22:22:58 (01:51:06) (chat)  beskr1l_: @GlebBio @KatzBalgerr wlg5
22:22:59 (01:51:07) (chat)  zaopdyyy: строить надо
22:23:00 (01:51:08) (chat)  wlgboy: @crazzzy_pie вы вернулись из пустоши - залог возвращен. Медперсонал убежища заметил у вас в костюме прокол. Необходимо провести обследование. Это займет 126 секунд. Вы нашли редкий предмет на старой свалке - [Жёлтый модуль памяти]. Положив находку в инвентарь, вы обнаружили, что у вас больше не осталось свободных слотов.
22:23:16 (01:51:23) (chat)  anunax_x: они метиоры уже поскидывали*?
22:23:22 (01:51:29) (chat)  SwampDoctor113: Скелетрон
22:23:26 (01:51:33) (chat)  zaopdyyy: @lucifer_the нет ещё
22:23:33 (01:51:40) (chat)  anunax_x: это же последняя бронька перед стеной
22:23:46 (01:51:53) (chat)  kreitrau: А мать слизней?
22:23:56 (01:52:03) (chat)  OiK__: хлорофит bongoTap
22:23:59 (01:52:07) (chat)  Chpok619: @kreitrau Король ?
22:24:01 (01:52:08) (chat)  wlgboy: хочешь узнать, когда будет следующий стрим? Подпишись на уведомления посредством личных сообщений ВКонтакте. Это удобно! https://vk.cc/9rSVZA
22:24:08 (01:52:15) (chat)  Mr_Gelo: Кажись, Дима нашел Храм Джунглей PogChamp
22:24:10 (01:52:17) (chat)  arti_PS: !inv
22:24:10 (01:52:17) (chat)  wlgboy: @arti_PS у вас в инвентаре следующие предметы: 1. [Шулерские кости] 2. [Дробовик] 3. [Деньги] 4. [Ожерелье] 5. [Красная карта допуска реактора]. Занято слотов: [5/5]
22:24:14 (01:52:21) (chat)  zaopdyyy: крюк тебя спасёт и не раз
22:24:21 (01:52:29) (chat)  lucifer_the: @zaopdyyy нахераа тогда они тут бегают и боссов ищут? Если новые боссы появятся после стены плоти
22:24:36 (01:52:44) (chat)  1Kpekep: Файнл босс? После стены плоти игра только начинается
22:24:43 (01:52:51) (chat)  SupremeLolka: о, дриада
22:24:47 (01:52:54) (chat)  santimentorr: !wasteland
22:24:47 (01:52:54) (chat)  wlgboy: @santimentorr вы уже находитесь в пустоши. Времени до возвращения: 34 минуты.
22:24:59 (01:53:06) (chat)  Mr_Gelo: Нимфа, а не дриада ResidentSleeper
22:25:05 (01:53:12) (chat)  glow1ngglow: почему они просто вики не почитают?
22:25:08 (01:53:16) (chat)  zaopdyyy: @lucifer_the получают удовольствие от игры
22:25:11 (01:53:18) (chat)  Mrs_Christ: Кофе HEYYEYAAEYAAAEYAEYAA
22:25:21 (01:53:28) (chat)  wlgboy: скидка до 20% на продукцию ASUS. Приятных покупок с промокодом WLG по ссылке: https://vk.cc/9ivAk7
22:25:34 (01:53:41) (chat)  Chpok619: @lucifer_the Они тут бегают чтоб убить Пчелу и найти сердца
22:25:36 (01:53:43) (chat)  bobuika: !buy
22:25:36 (01:53:43) (chat)  wlgboy: @bobuika вы приобрели [Солдатский жетон Блонди] за 100 крышек. У вас осталось 5 свободных слотов в инвентаре.
22:25:46 (01:53:53) (chat)  bobuika: !inv drop 2
22:25:46 (01:53:53) (chat)  wlgboy: @bobuika предмет [Солдатский жетон Блонди] изъят из вашего инвентаря.
22:25:53 (01:54:00) (chat)  santimentorr: @mrs_christ мысля...
22:25:56 (01:54:04) (chat)  wlgboy: @fertonok вы вернулись из пустоши - залог возвращен. Вы смогли найти мешочек с 20 крышечками. Теперь на вашем балансе 108 крышечек.
22:26:02 (01:54:10) (chat)  SupremeLolka: @Mrs_Christ wlgHype TeaTime
22:26:04 (01:54:12) (chat)  balkon_one: @WELOVEGAMES прежде чем идти в ад, нужно победить Плантеру в ждунглях, которая даст ключ он подземелья в ждунглях, где в свою очередь есть опять таки еще один босс! а потом и в ад можно.
22:26:11 (01:54:18) (chat)  arsenii23: !wasteland
22:26:11 (01:54:19) (chat)  wlgboy: @arsenii23 вы уже находитесь в пустоши. Времени до возвращения: 38 минут.
22:26:11 (01:54:19) (chat)  Mrs_Christ: @santimentorr А?
22:26:13 (01:54:20) (chat)  lucifer_the: @zaopdyyy так самое интересное начинается после убийства стены плоти. Там крылья , доспехи , руда, оружие
22:26:14 (01:54:22) (chat)  ice_bearrr: @Mrs_Christ допинг?)
22:26:21 (01:54:28) (chat)  wlgboy: информация об игровых релизах в сентябре: https://vk.cc/9M1a8T
22:26:22 (01:54:30) (chat)  wlgboy: @KatzBalgerr вы вернулись из пустоши - залог возвращен. Вы нашли обычный предмет на старой свалке - [Коробка лапши]. Положив находку в инвентарь, вы обнаружили, что у вас больше не осталось свободных слотов.
22:26:29 (01:54:36) (chat)  Dizy2Zero: @balkon_one клёвый план,вот только плантера после стены появляется
22:26:31 (01:54:38) (chat)  Chpok619: @balkon_one Ты перепутал все что можно
22:26:36 (01:54:44) (chat)  Mrs_Christ: @SupremeLolka lickR TeaTime
22:26:39 (01:54:46) (chat)  santimentorr: @mrs_christ кофейка захотел.. wlgHype
22:26:41 (01:54:48) (chat)  zaopdyyy: @lucifer_the не знаю, знают ли это они
22:26:41 (01:54:48) (chat)  SupremeLolka: @mrs_christ, но чай лучше))
22:26:46 (01:54:54) (chat)  Valkig: @balkon_one найс идея, вот только плантера после 3 мехабоссов открывается гений
22:26:53 (01:55:00) (chat)  Mrs_Christ: @ice_bearrr Да))
22:26:59 (01:55:06) (chat)  zaopdyyy: ахаахах
22:27:01 (01:55:08) (chat)  zaopdyyy: уф
22:27:06 (01:55:13) (chat)  Mrs_Christ: @SupremeLolka У меня под настроение)
22:27:06 (01:55:13) (chat)  GlebBio: !help
22:27:06 (01:55:14) (chat)  Nightbot: Все команды прописываются с "!" в начале: faq, sub, don, up, games, rgg, vod, trade, mt, disc, vk, tw, yt, inst, coub, steam.
22:27:06 (01:55:14) (chat)  wlgboy: command list - !passport, !ball, !caps [give/top/add/take], !buy, !inv [drop/clear], !throw, !rockets [top], !wasteland, !trade [cancel/accept/decline]
22:27:16 (01:55:23) (chat)  Respya: Как Марио стонет
22:27:20 (01:55:27) (chat)  DokerStim: @Mrs_Christ Приятного wlgMug
22:27:21 (01:55:28) (chat)  wlgboy: ВНИМАНИЕ! До конца сентября скидка 50% на подписку и переподписку! Порадуй стримера и себя! Kappa //
22:27:29 (01:55:36) (chat)  zaopdyyy: пулемёт бы ему, мини-акулу
22:27:38 (01:55:45) (chat)  haliaonar: !trade
22:27:38 (01:55:45) (chat)  Nightbot: Ссылка на обмен в Steam: goo.gl/ZWH6TA
22:27:38 (01:55:45) (chat)  Mrs_Christ: @DokerStim Спасибо wlgHype
22:27:58 (01:56:06) (chat)  wlgboy: @Ryzhayaryzhaya вы вернулись из пустоши - залог возвращен. Вы смогли найти мешочек с 20 крышечками. Теперь на вашем балансе 155 крышечек.
22:28:05 (01:56:12) (chat)  RUMblN: Ого террария
22:28:14 (01:56:22) (chat)  SoWaGodi: на молоток нажми
22:28:15 (01:56:22) (chat)  Myfta: на молоток нажми
22:28:16 (01:56:23) (chat)  Mr_Gelo: @WELOVEGAMES Можно, нажми на молоточек
22:28:19 (01:56:27) (chat)  SupremeLolka: @WELOVEGAMES да, молоточек
22:28:20 (01:56:28) (chat)  Sparhok: Нажми МОЛОТОк
22:28:23 (01:56:30) (chat)  glow1ngglow: лол он слепой? там же сундук
22:28:24 (01:56:32) (chat)  medieval1495: привет ребят wlgLuv wlgLuv wlgLuv wlgLuv wlgLuv wlgLuv wlgLuv wlgLuv wlgLuv
22:28:26 (01:56:34) (chat)  SirLarson: @WELOVEGAMES молоточек маленький рядом с этой полоской нажми на него
22:28:29 (01:56:37) (chat)  ice_bearrr: !wasteland
22:28:30 (01:56:37) (chat)  wlgboy: @ice_bearrr вы уже находитесь в пустоши. Времени до возвращения: 19 минут.
22:28:47 (01:56:55) (chat)  fertonok: !wasteland
22:28:48 (01:56:55) (chat)  wlgboy: @fertonok вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 53 минуты.
22:28:49 (01:56:57) (chat)  Skvatorix: wlgCheers wlgPled
22:28:49 (01:56:57) (chat)  ice_bearrr: @medieval1495 wlgPled wlgMug wlg5
22:28:53 (01:57:00) (chat)  SupremeLolka: gachiHop
22:28:56 (01:57:03) (chat)  Mrs_Christ: @medieval1495 Здравствуй, Константин wlgLuv
22:28:56 (01:57:03) (chat)  Respya: LUL
22:28:59 (01:57:06) (chat)  haliaonar: !steam
22:28:59 (01:57:07) (chat)  Nightbot: Группа в steam: steamcommunity.com/groups/welovegamestv
22:29:01 (01:57:08) (chat)  wlgboy: хочешь узнать, когда будет следующий стрим? Подпишись на уведомления посредством личных сообщений ВКонтакте. Это удобно! https://vk.cc/9rSVZA
22:29:04 (01:57:11) (chat)  Staso7: Вам надо кровать сделать для респа это оч важно
22:29:04 (01:57:11) (chat)  caerrus: @WELOVEGAMES В корнях таких деревьев сундук
22:29:07 (01:57:14) (chat)  IgorGHK: IgorGHK subscribed at Tier 1. They've subscribed for 60 months! 
22:29:07 (01:57:15) (chat)  ice_bearrr: @fertonok wlgLuv wlgPled wlg5
22:29:09 (01:57:16) (chat)  SupremeLolka: !up
22:29:09 (01:57:16) (chat)  medieval1495: @ice_bearrr @Mrs_Christ wlgLuv wlgLuv wlgLuv wlgLuv
22:29:09 (01:57:16) (chat)  Nightbot: Онлайн уже 1 hour 57 minutes 26 seconds
22:29:09 (01:57:17) (chat)  wlgboy: переподключился к центральному компьютеру Убежища.
22:29:12 (01:57:20) (chat)  Mrs_Christ: wlg5 wlg5 wlg5 wlg5
22:29:15 (01:57:22) (chat)  rai9ne: wlg5 wlg5 wlg5 wlg5 wlg5
22:29:15 (01:57:22) (chat)  Mutabor_Shooter: wlg5 wlg5 wlg5 wlg5 wlg5
22:29:19 (01:57:26) (chat)  ice_bearrr: wlg5 wlg5 wlg5
22:29:20 (01:57:27) (chat)  medieval1495: wlg5 wlg5 wlg5 wlg5
22:29:22 (01:57:30) (chat)  GlebBio: wlg5 wlg5 wlg5 wlg5
22:29:23 (01:57:30) (chat)  Skvatorix: wlg5 wlg5 wlg5 wlg5 wlg5
22:29:31 (01:57:38) (chat)  santimentorr: wlg5 wlg5 wlg5 wlg5
22:29:31 (01:57:38) (chat)  Nospire: wlg5 wlg5 wlg5 OWL2019Tracer OWL2019Tracer
22:29:32 (01:57:40) (chat)  Ed_Amosha: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
22:29:33 (01:57:41) (chat)  ARDRU_: wlg5 wlg5 wlg5 wlg5 wlgF
22:29:36 (01:57:44) (chat)  hvatman: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
22:29:36 (01:57:44) (chat)  Mrs_Christ: когдап уже кооператив?
22:29:37 (01:57:45) (chat)  critical_massa: wlg5 wlg5 wlg5 wlg5
22:29:39 (01:57:46) (chat)  SupremeLolka: wlg5 wlg5 wlg5
22:29:39 (01:57:47) (chat)  DokerStim: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
22:29:40 (01:57:47) (chat)  Mutabor_Shooter: wlgCheers wlgCheers wlgCheers wlgCheers wlgCheers
22:29:41 (01:57:49) (chat)  Mrs_Christ: wlgCheers wlgCheers wlgCheers wlgCheers
22:29:42 (01:57:49) (chat)  DeoFos: 5 лет
22:29:46 (01:57:53) (chat)  arsenii23: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
22:29:49 (01:57:57) (chat)  Ed_Amosha: wlgCheers wlgCheers wlgCheers wlgCheers wlgCheers wlgCheers wlgCheers wlgCheers
22:29:50 (01:57:57) (chat)  ice_bearrr: wlgMug wlgMug wlgMug
22:29:58 (01:58:05) (chat)  medieval1495: когда уже пираты?
22:30:08 (01:58:15) (chat)  GlebBio: @ed_amosha wlgFlowers wlgFlowers wlgFlowers
22:30:12 (01:58:19) (chat)  wlgboy: @Neviz0r вы вернулись из пустоши - залог возвращен. Вы обнаружили редкий сундучок с 71 крышечкой. Теперь на вашем балансе 571 крышечка.
22:30:12 (01:58:19) (chat)  gatarelub: wlgCheers wlgCheers wlgCheers
22:30:23 (01:58:30) (chat)  GlebBio: !wasteland
22:30:24 (01:58:31) (chat)  wlgboy: @GlebBio вы уже находитесь в пустоши. Времени до возвращения: 23 минуты.
22:30:25 (01:58:33) (chat)  Farewell666: @medieval1495 после стены,вот надо их какнить на НЛО вывести
22:30:28 (01:58:35) (chat)  wlgboy: ВНИМАНИЕ! До конца сентября скидка 50% на подписку и переподписку! Порадуй стримера и себя! Kappa //
22:30:29 (01:58:36) (chat)  bobuika: wlgCheers wlgCheers wlgCheers wlgCheers wlgCheers
22:30:29 (01:58:36) (chat)  Kawasomy: главное это все озвучил, а чату привет?!
22:30:30 (01:58:38) (chat)  Mrs_Christ: Урааа
22:30:39 (01:58:46) (chat)  x345: wlgComfort
22:30:41 (01:58:48) (chat)  wlgboy: @Vahapet вы вернулись из пустоши - залог возвращен. Вы обнаружили редкий сундучок с 51 крышечкой. Теперь на вашем балансе 13872 крышечки.
22:30:42 (01:58:49) (chat)  Mrs_Christ: Нужно больше обнимашек
22:30:46 (01:58:53) (chat)  SupremeLolka: gachiPRIDE
22:30:49 (01:58:57) (chat)  Kawasomy: wlgPled
22:30:56 (01:59:04) (chat)  bobuika: igorCoolstory igorCoolstory igorCoolstory igorCoolstory
22:30:57 (01:59:05) (chat)  Xrymxrums: Xrymxrums subscribed at Tier 1. They've subscribed for 3 months, currently on a 3 month streak! BaleCryHi BaleCryHi BaleCryHi BaleCryHi
22:30:59 (01:59:07) (chat)  wlgboy: переподключился к центральному компьютеру Убежища.
22:31:02 (01:59:09) (chat)  zaopdyyy: обожаю обнимашки
22:31:04 (01:59:11) (chat)  medieval1495: wlg5 wlg5 wlg5 wlg5
22:31:06 (01:59:13) (chat)  Mrs_Christ: wlg5 wlg5 wlg5 wlg5 wlg5
22:31:09 (01:59:16) (chat)  Skvatorix: wlg5 wlg5 wlg5 wlg5
22:31:10 (01:59:17) (chat)  santimentorr: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
22:31:10 (01:59:18) (chat)  Kotovskai: wlg5 wlg5 wlg5
22:31:10 (01:59:18) (chat)  Mutabor_Shooter: wlg5 wlg5 wlg5 wlg5
22:31:12 (01:59:19) (chat)  Nospire: wlg5 wlg5 wlg5 OWL2019Tracer OWL2019Tracer
22:31:15 (01:59:22) (chat)  bONNSilver: @welovegames мы хотим токсичности BibleThump BibleThump BibleThump
22:31:16 (01:59:23) (chat)  ice_bearrr: wlg5 wlg5 wlg5 wlg5
22:31:17 (01:59:24) (chat)  Mrs_Christ: каво
22:31:17 (01:59:24) (chat)  Kawasomy: wlg5 wlg5 wlg5 wlg5
22:31:19 (01:59:26) (chat)  Skvatorix: wlgPeka wlgPeka
22:31:19 (01:59:26) (chat)  bobuika: wlg5 wlg5 wlg5 wlg5 wlg5
22:31:21 (01:59:29) (chat)  Respya: blobDance blobDance blobDance
22:31:22 (01:59:30) (chat)  Darkys120: LUL LUL
22:31:23 (01:59:31) (chat)  Ed_Amosha: wlgOralb
22:31:26 (01:59:33) (chat)  bZdiggeR: блич?
22:31:26 (01:59:33) (chat)  GlebBio: wlgFire wlgFire wlgFire wlgFire wlgFire
22:31:27 (01:59:34) (chat)  Kawasomy: озвучка топ wlgOralb LUL
22:31:28 (01:59:35) (chat)  RUMblN: nukePukech nukePukech
22:31:30 (01:59:38) (chat)  Skvatorix: блеч?
22:31:30 (01:59:38) (chat)  ice_bearrr: wlgOralb
22:31:43 (01:59:50) (chat)  Kawasomy: блечу рви блечу рви блечу рви
22:31:46 (01:59:53) (chat)  Kawasomy: я так услышала
22:32:03 (02:00:10) (chat)  Skvatorix: @kawasomy точно блечу рви. я так же услышал
22:32:11 (02:00:18) (chat)  fertonok: @ice_bearrr, estiraLove
22:32:13 (02:00:21) (chat)  Kawasomy: LUL LUL
22:32:23 (02:00:30) (chat)  GRIFSTGAMES: глаз для призыва босса
22:32:23 (02:00:30) (chat)  Skvatorix: @rumbln nukeNya
22:32:23 (02:00:30) (chat)  ushi_v_serejkah: Всем привет <3
22:32:35 (02:00:42) (chat)  gatarelub: @WELOVEGAMES почему у тебя двое ботинок?
22:32:37 (02:00:45) (chat)  Mrs_Christ: мяу мяу кис кис
22:32:42 (02:00:49) (chat)  Kawasomy: @ushi_v_serejkah wlgLuv привет
22:32:57 (02:01:04) (chat)  ushi_v_serejkah: @welovegames привет-привет, как стрим проходит? wlg5
22:33:12 (02:01:19) (chat)  ushi_v_serejkah: @kawasomy GenderFluidPride GenderFluidPride хэйхэй, как вечер?
22:33:22 (02:01:29) (chat)  RUMblN: @skvatorix, nukeNice
22:33:23 (02:01:30) (chat)  Mrs_Christ: @ushi_v_serejkah Он сегодня с чатом не общается))
22:33:27 (02:01:34) (chat)  ushi_v_serejkah: В этом чатике есть те, кого сдуло нафиг?
22:33:30 (02:01:37) (chat)  chimildic: @WELOVEGAMES майнкрафт так то тоже)
22:33:31 (02:01:39) (chat)  Kawasomy: @ushi_v_serejkah слушаем топ озвучки подписок wlgOralb
22:33:37 (02:01:44) (chat)  ushi_v_serejkah: @mrs_christ Ню вот-(
22:33:37 (02:01:45) (chat)  CherryTyphoon: @WELOVEGAMES А детей завести можно?
22:33:38 (02:01:45) (chat)  wlgboy: ВНИМАНИЕ! До конца сентября скидка 50% на подписку и переподписку! Порадуй стримера и себя! Kappa //
22:33:43 (02:01:50) (chat)  FireFly_Serenity: Пришла Катя развеяла всю таксичность парней igorToxic
22:33:46 (02:01:53) (chat)  ushi_v_serejkah: @kawasomy Вах
22:33:47 (02:01:55) (chat)  Respya: @chimildic любая песочница
22:33:54 (02:02:02) (chat)  Skvatorix: !wasteland
22:33:55 (02:02:02) (chat)  wlgboy: @Skvatorix вы уже находитесь в пустоши. Времени до возвращения: 31 минуту.
22:33:56 (02:02:04) (chat)  blohastyj: @WELOVEGAMES если нет места в инвентаре и есть ненужные аксессуары, их можно положить в слоты что левее аксессуаров, тем самым освободив место)
22:33:58 (02:02:05) (chat)  SupremeLolka: Отхожу на пять минут, возвращаюсь, а тут Денис о вечном говрит))
22:34:03 (02:02:10) (chat)  Kawasomy: детей заводить не надо WutFace
22:34:06 (02:02:13) (chat)  Farewell666: саммоны почти дети
22:34:10 (02:02:17) (chat)  RUMblN: @ushi_v_serejkah, меня подмочило только, но дубак здоровый
22:34:16 (02:02:23) (chat)  Mrs_Christ: @FireFly_Serenity Помотушто Кати солнышко
22:34:18 (02:02:25) (chat)  bZdiggeR: igorPeka
22:34:18 (02:02:25) (chat)  wlgboy: хочешь узнать, когда будет следующий стрим? Подпишись на уведомления посредством личных сообщений ВКонтакте. Это удобно! https://vk.cc/9rSVZA
22:34:18 (02:02:26) (chat)  zaopdyyy: а всё перекопать реально?
22:34:18 (02:02:26) (chat)  Ed_Amosha: LUL
22:34:24 (02:02:31) (chat)  Mutabor_Shooter: LUL
22:34:27 (02:02:34) (chat)  wlgboy: @gatarelub вы вернулись из пустоши - залог возвращен. Вы смогли найти мешочек с 28 крышечками. Теперь на вашем балансе 1328 крышечек.
22:34:30 (02:02:37) (chat)  SupremeLolka: LUL
22:34:30 (02:02:38) (chat)  Kawasomy: wlgOralb wlgOralb
22:34:32 (02:02:39) (chat)  Mrs_Christ: ахахах
22:34:35 (02:02:42) (chat)  bobuika: justpa2LUL
22:34:36 (02:02:44) (chat)  ushi_v_serejkah: @rumbln и у меня дубак -(
22:34:37 (02:02:44) (chat)  bZdiggeR: igorPeka
22:34:38 (02:02:45) (chat)  Skvatorix: nukePukech
22:34:39 (02:02:46) (chat)  ice_bearrr: LUL LUL LUL
22:34:40 (02:02:47) (chat)  OrderedFeel: баба яга
22:34:40 (02:02:47) (chat)  FireFly_Serenity: @Mrs_Christ ага igorFeel igorFeel
22:34:41 (02:02:48) (chat)  GuySimps: wlgWow wlgWow wlgWow wlgWow wlgWow
22:34:41 (02:02:48) (chat)  gatarelub: !wasteland
22:34:41 (02:02:48) (chat)  wlgboy: @gatarelub вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 45 минут.
22:34:41 (02:02:49) (chat)  Chpok619: @zaopdyyy Реально если время есть
22:34:43 (02:02:50) (chat)  Kawasomy: суши wlgPray
22:34:44 (02:02:52) (chat)  derflime: Q
22:34:46 (02:02:53) (chat)  SupremeLolka: wlgScared wlgScared wlgScared
22:34:49 (02:02:56) (chat)  qKey_: Чатик, привет wlg5
22:34:50 (02:02:57) (chat)  bobuika: wlgDeer wlgDeer wlgDeer
22:34:55 (02:03:02) (chat)  fertonok: @GuySimps estiraLove
22:34:55 (02:03:02) (chat)  qKey_: !wasteland
22:34:55 (02:03:03) (chat)  wlgboy: @qKey_ вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 41 минуту.
22:34:57 (02:03:04) (chat)  Gavrila23: это експерт террария?
22:34:57 (02:03:04) (chat)  balkon_one: в джунглях растёт розовый бутон, при его разрушении появляется плантера, когда его разрушаешь приходит босс Плантера, которая даёт ключ от храм в джунглях @WELOVEGAMES
22:35:01 (02:03:08) (chat)  bobuika: @qkey_ wlg5
22:35:06 (02:03:13) (chat)  Kawasomy: @qKey_ wlg5 wlg5 привяу
22:35:11 (02:03:18) (chat)  SupremeLolka: @gavrila23, нет, просто террария
22:35:14 (02:03:21) (chat)  ushi_v_serejkah: wlg5 wlg5 wlg5
22:35:14 (02:03:21) (chat)  ZiveMan: !wasteland
22:35:14 (02:03:22) (chat)  wlgboy: @ZiveMan вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 48 минут.
22:35:18 (02:03:25) (chat)  Gavrila23: (((
22:35:21 (02:03:29) (chat)  GlebBio: @qkey_ крутой ник! Привет )
22:35:26 (02:03:33) (chat)  PopravkoUA: Всем привет wlg5 wlgCorn wlgMug
22:35:28 (02:03:35) (chat)  GRIFSTGAMES: мочите
22:35:38 (02:03:45) (chat)  wlgboy: скидка до 20% на продукцию ASUS. Приятных покупок с промокодом WLG по ссылке: https://vk.cc/9ivAk7
22:35:41 (02:03:48) (chat)  wlgboy: @Booqlya вы вернулись из пустоши - залог возвращен. Вы нашли обычный предмет на старой свалке - [Вяленое мясо]. Положив находку в инвентарь, вы обнаружили, что у вас осталось 4 свободных слота.
22:35:43 (02:03:51) (chat)  lemnian: !wasteland
22:35:44 (02:03:51) (chat)  wlgboy: @lemnian у вас недостаточно крышек для выхода в пустошь. Необходимо 15
22:35:45 (02:03:52) (chat)  polyahavava: @WELOVEGAMES ульев может быть несколько
22:35:47 (02:03:54) (chat)  Farewell666: он сейчас вызовет,если так беспорядочно будет палить =)
22:35:47 (02:03:54) (chat)  GlebBio: Повторим ? https://clips.twitch.tv/TangentialLovelyPassionfruitCclamChamp
22:35:49 (02:03:56) (chat)  Kawasomy: @PopravkoUA wlg5 wlg5 wlg5 wlgLuv
22:35:49 (02:03:56) (chat)  GuySimps: @fertonok @Mrs_Christ wlgLuv wlgLuv wlgLuv wlgLuv wlgLuv
22:35:53 (02:04:00) (chat)  sch0i_: научите @WELOVEGAMES пользоваться shift-ом
22:36:08 (02:04:16) (chat)  HappyMANLove: Всем привет. Он читает чат?
22:36:13 (02:04:20) (chat)  Mrs_Christ: @GuySimps Привет wlgLuv wlgLuv
22:36:15 (02:04:22) (chat)  Farewell666: нет
22:36:19 (02:04:26) (chat)  Kawasomy: @HappyMANLove не
22:36:19 (02:04:26) (chat)  zaopdyyy: вначале читал
22:36:22 (02:04:29) (chat)  Ed_Amosha: monkaHmm
22:36:22 (02:04:29) (chat)  ushi_v_serejkah: @happymanlove Даров <3
22:36:22 (02:04:30) (chat)  Mrs_Christ: @HappyMANLove Привет). Неа
22:36:26 (02:04:34) (chat)  sanya00: wlgSad
22:36:31 (02:04:38) (chat)  Mrs_Christ: Точнее он читает, но не отвечает
22:36:35 (02:04:42) (chat)  GlebBio: @happymanlove Очень редко
22:36:38 (02:04:45) (chat)  wlgboy: ВНИМАНИЕ! До конца сентября скидка 50% на подписку и переподписку! Порадуй стримера и себя! Kappa //
22:36:40 (02:04:47) (chat)  Starval: Всем добрый вечер wlgPled Все еще без хуков играют? %))
22:36:45 (02:04:53) (chat)  zaopdyyy: лава и улей
22:36:46 (02:04:53) (chat)  HappyMANLove: Денис хоть спал? 4Head
22:36:47 (02:04:54) (chat)  Man1god: @WELOVEGAMES это просто неправильные пчелы, они делают не правильный мед!)
22:36:49 (02:04:57) (chat)  Mr_Gelo: @WELOVEGAMES Маткаа под поверхностью меда
22:36:50 (02:04:57) (chat)  GlebBio: @starval wlg5 wlg5 wlg5
22:36:52 (02:05:00) (chat)  EDIIS: какие-то не правильные пчелы )
22:36:54 (02:05:01) (chat)  SupremeLolka: @Starval с ними)
22:36:54 (02:05:02) (chat)  Mrs_Christ: @sanya00 Привет, Санечка wlgLuv
22:36:59 (02:05:07) (chat)  medieval1495: @Starval wlgLuv
22:37:06 (02:05:13) (chat)  taurustalgat: совсем неправельные пчёлы LUL
22:37:09 (02:05:17) (chat)  sanya00: @mrs_christ Привет, Дашенька
22:37:18 (02:05:26) (chat)  Darkwinner11: Darkwinner11 subscribed at Tier 1. They've subscribed for 26 months! 
22:37:19 (02:05:27) (chat)  GlebBio: @sanya00 @guysimps wlgFlowers wlg5 wlgFlowers wlg5 wlgFlowers wlg5 wlgFlowers
22:37:20 (02:05:27) (chat)  wlgboy: переподключился к центральному компьютеру Убежища.
22:37:27 (02:05:35) (chat)  Mrs_Christ: wlg5 wlg5 wlg5 wlg5 wlg5
22:37:28 (02:05:36) (chat)  santimentorr: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
22:37:30 (02:05:37) (chat)  GlebBio: @medieval1495 wlgMug wlgMug wlgMug
22:37:31 (02:05:38) (chat)  sanya00: @glebbio wlg5 wlg5 wlg5
22:37:32 (02:05:39) (chat)  ice_bearrr: @sanya00 wlgPled wlg5
22:37:35 (02:05:42) (chat)  ushi_v_serejkah: @taurustalgat Среди них есть винни пух-)
