18:37:48 (00:00:06) (chat)  Kate_Rey: алло?
19:21:46 (00:44:04) (chat)  maemicorvo: !uptime
19:21:46 (00:44:05) (chat)  Nightbot: Стрим идет уже 44 minutes 16 seconds
19:21:47 (00:44:05) (chat)  gwen_devil: прыкольно
19:21:49 (00:44:07) (chat)  Armogidun: @1_AkumaShield ну то есть сюжетки пока как таковой не было?
19:22:01 (00:44:20) (chat)  igorexa19: @sloyka_s_sirom Прямо как у нас Kappa
19:22:04 (00:44:23) (chat)  Nightbot: Команды для бота в нашем чате: !time !game !youtube !vk !discord !alert
19:22:14 (00:44:32) (chat)  Dimann124: !time
19:22:25 (00:44:43) (chat)  sloyka_s_sirom: @igorexa19 у нас чинят те, где побольше отмыть можно LUL
19:22:41 (00:44:59) (chat)  Tot2D2: @ArtGamesLP а у тебя ПХТ нет, чтобы станцию забахать?
19:22:42 (00:45:01) (chat)  Kate_Rey: @ArtGamesLP Тема, я вынуждена вас покинуть, мне надо съездить линолеум купить artgam2Iq20 artgam2Iq20
19:22:57 (00:45:15) (chat)  Kate_Rey: стримлер, отпути artgam2Iq20
19:23:03 (00:45:22) (chat)  sloyka_s_sirom: @Kate_Rey удачи
19:23:05 (00:45:23) (chat)  igorexa19: @sloyka_s_sirom У друга в селе по бумагам асфальт, я когда ехал, маршрутка чуть на бок не перевернулась от этого асвальта в виде насыпаной шебенки LUL
19:23:20 (00:45:39) (chat)  korben___detka: @Kate_Rey мы будем ждать, скучать и плакать
19:23:20 (00:45:39) (chat)  gwen_devil: лайкосик
19:23:22 (00:45:40) (chat)  Andjey_Kharkov: Соу клоуз
19:23:25 (00:45:44) (chat)  jubi_ju: млг
19:23:30 (00:45:48) (chat)  larry_larson: @ArtGamesLP Привет, Тёмыч. Как дела? Я что-то не понял, Кодзимыч гений или нет?
19:23:31 (00:45:50) (chat)  Kate_Rey: хорошо, спасибо Kappa Kappa
19:23:40 (00:45:59) (chat)  tamagotchi991: это горячий источник рядом?
19:23:43 (00:46:01) (chat)  igorexa19: Линолиум не очень Kappa
19:23:45 (00:46:03) (chat)  Vikingvladivostokrus: Байк поставь
19:23:45 (00:46:04) (chat)  Kate_Rey: стримлер отпустил модера ClappyHype
19:23:52 (00:46:10) (chat)  trom6one: а лайкос поставил?
19:23:59 (00:46:17) (chat)  Vikingvladivostokrus: Лайк
19:24:00 (00:46:18) (chat)  Twinky_Winky: Доббы свободен Kappa
19:24:13 (00:46:31) (chat)  Kate_Rey: @twinky_winky, дада LUL
19:24:18 (00:46:37) (chat)  ifrit_n12: что за сопли висят под мостом?
19:24:19 (00:46:37) (chat)  gwen_devil: ахах
19:24:20 (00:46:38) (chat)  igorexa19: Бунд? artgam2Demon
19:24:37 (00:46:55) (chat)  Dimann124: !time
19:24:37 (00:46:56) (chat)  Nightbot: Стрим идет уже 47 minutes 7 seconds
19:24:43 (00:47:02) (chat)  wesker33age: Всем Доброго и Позитивно-Приятного вечерочка <3 <3 <3 lorian1Hi lorian1Hi lorian1Hi @artgameslp Добра и Позитива и удачного стрима <3 <3 <3 <3 <3 lorian1Hi lorian1Hi lorian1Hi lorian1Hi lorian1Hi
19:24:44 (00:47:02) (chat)  tommywasco: там был мимик Jebaited
19:25:01 (00:47:20) (chat)  korben___detka: @wesker33age привет GivePLZ
19:25:05 (00:47:24) (chat)  Nightbot: По моему промокоду ARTGAMES ты получишь бонус до 6500 RUB при первом депозите - http://bit.ly/2Gh0MpU
19:25:08 (00:47:27) (chat)  1_AkumaShield: @Armogidun Доставки - это и есть весь сюжет игры Hahahha =) Если серьёзно, то особо ничего, лидер экстремистов появился, первый босс, ну и доставки и ещё раз доставки =)
19:25:37 (00:47:55) (chat)  wesker33age: @korben___detka <3 <3 <3 lorian1Hi lorian1Hi lorian1Hi
19:25:44 (00:48:03) (chat)  Armogidun: @1_AkumaShield понял, спасибо
19:25:45 (00:48:03) (chat)  igorexa19: @ArtGamesLP Ооо, поставь кароче в середине дороги ящик который будет высовываться из земли и подкидывать игроков artgam2Demon
19:26:25 (00:48:44) (chat)  Salvatore_Ursus: @wesker33age, bufaDonAptypo artgam2AGHeavyHorns lorian1Hi
19:27:00 (00:49:18) (chat)  wesker33age: @salvatore_ursus Кусь Кусь Кусь <3 <3 <3 lorian1Hi lorian1Hi lorian1Hi
19:27:03 (00:49:21) (chat)  aaarggh: Дорога из керамики?)))) сколько бабушкиных сервизов уйдёт на километр?))
19:27:17 (00:49:35) (chat)  igorexa19: Ну тогда как у нас принятно, тут дорога, там шебенка, пробная же постройка дороги LUL
19:28:00 (00:50:18) (chat)  korben___detka: Чатик, пора бежать, слушайтесь стримера и модеров artgam2WatchingU
19:28:01 (00:50:19) (chat)  vnikopol: нажми квадрат
19:28:06 (00:50:24) (chat)  jubi_ju: пока Артур там ходит аки башня гружёный, Тёма полезные вещи делает, дороги строит Keepo Keepo Keepo
19:28:07 (00:50:25) (chat)  Redriar_: Приветствую tanyagSirCat
19:28:08 (00:50:26) (chat)  Abrams05: Я конечно не эксперт но наверное никак кроме ка на базе
19:28:36 (00:50:54) (chat)  wesker33age: а где Компашка, Тардис, Мамка дан, Клубничный тортик, Нафаня? CorgiDerp
19:29:22 (00:51:40) (chat)  Yuralex: игра учит считать в уме)
19:29:48 (00:52:07) (chat)  igorexa19: А вдруг у стримлера просто на другом мониторе калькулятор? Kappa
19:30:04 (00:52:23) (chat)  vnikopol: сейчапс у Антипа появится дорога Kappa
19:30:05 (00:52:24) (chat)  gwen_devil: уии
19:30:08 (00:52:26) (chat)  Nightbot: Уважаемые нонсабы, не забудьте напомнить стримлеру включить вам рекламу. Спасибо
19:30:09 (00:52:27) (chat)  Roland_god: PogChamp PogChamp PogChamp
19:30:12 (00:52:30) (chat)  tommywasco: ляяя
19:30:28 (00:52:46) (chat)  jubi_ju: Хайвей ту хевен LUL
19:30:28 (00:52:47) (chat)  aaarggh: Огоооооооооооооо
19:30:31 (00:52:49) (chat)  igorexa19: @ArtGamesLP Угони!
19:30:31 (00:52:50) (chat)  vnikopol: там прыгнуть можно
19:30:32 (00:52:51) (chat)  larry_larson: @Nightbot нет SMOrc
19:30:33 (00:52:51) (chat)  Tot2D2: LUL LUL LUL LUL
19:30:38 (00:52:57) (chat)  tamagotchi991: LUL
19:30:42 (00:53:01) (chat)  coala_MONSTER: LUL LUL
19:30:44 (00:53:03) (chat)  sloyka_s_sirom: Highway to hell LUL
19:30:47 (00:53:06) (chat)  Vaniaklinov: благодаря стримчику игру приобрел
19:30:50 (00:53:09) (chat)  gwen_devil: байк для того и стоит)
19:30:53 (00:53:11) (chat)  Yuralex: реально ли построить дорогу восток-запад?)
19:30:53 (00:53:12) (chat)  wesker33age: @artgameslp спать в 16:31 МСК?
19:30:58 (00:53:16) (chat)  alice_morietur: @korben___detka , так шли бы спать)
19:31:09 (00:53:27) (chat)  Tot2D2: На ПХТ нельзя наметить следующий пункт дороги, а другие игроки пусть вкладываются в это? =)
19:31:14 (00:53:32) (chat)  igorexa19: LUL @ArtGamesLP ша твою груженную машину угонят
19:31:17 (00:53:35) (chat)  aaarggh: Поставь значок там есть с прыжком на автомобиле ))))))
19:31:18 (00:53:36) (chat)  jubi_ju: а как там байк оказался, если ты только построил?..
19:31:33 (00:53:52) (chat)  jubi_ju: поставь лучше там знак "безопасно" Kappa
19:31:43 (00:54:01) (chat)  vnikopol: видимо он просто поделился транспортом
19:31:45 (00:54:03) (chat)  Leon_TK: OMEGALUL
19:31:49 (00:54:07) (chat)  9_enot_you_not: я сначала прочитал "бесполезно"
19:31:50 (00:54:09) (chat)  Roland_god: Плохая игра. Нельзя строить домики из грязи. NotLikeThis NotLikeThis
19:31:55 (00:54:13) (chat)  tamagotchi991: кто то припарковался уже, на вакантном месте)
19:32:05 (00:54:23) (chat)  panda_SLK: Этот мост у всех строиться? Или только У стримера?
19:32:06 (00:54:24) (chat)  Yuralex: знак трамплин
19:32:09 (00:54:28) (chat)  aaabugs: Байк брошен в мире с дорогой. построили дорогу и подгрузился сервер с мотоциклом
19:32:13 (00:54:31) (chat)  igorexa19: А почему от дороги камни в верх улетают?
19:32:16 (00:54:34) (chat)  Vaniaklinov: А в чем прикол строительства здесь? тупо для игроков помощь или на что то еще влияет?
19:32:34 (00:54:53) (chat)  anzay_ru: ешь опарышей, будешь сильным
19:32:41 (00:54:59) (chat)  jubi_ju: @Vaniaklinov ну, ты сам можешь ездить, не тратится акум у машин
19:32:51 (00:55:09) (chat)  Andjey_Kharkov: 800 металла надо
19:32:51 (00:55:10) (chat)  Roland_god: 800 металлов?
19:32:52 (00:55:10) (chat)  macarona: справа
19:32:56 (00:55:14) (chat)  macarona: 800
19:32:57 (00:55:15) (chat)  Dzaamon: Металлы 800
19:33:01 (00:55:19) (chat)  Tot2D2: 800 металлов для завершения
19:33:03 (00:55:21) (chat)  jubi_ju: но вообще главная мысль игры, я так понимаю, взаимовыручка)
19:33:19 (00:55:37) (chat)  trom6one: стримлер переквалифицировался в строителя
19:33:23 (00:55:42) (chat)  igorexa19: @ArtGamesLP Незабудь освятить мост грибами artgam2Demon
19:33:28 (00:55:46) (chat)  Vaniaklinov: @jubi_ju О спасиб за инфу
19:33:34 (00:55:52) (chat)  Andjey_Kharkov: Захеать снова к МУЛам,им по щам надавать?
19:33:49 (00:56:07) (chat)  sloyka_s_sirom: @ArtGamesLP а грузовик можно улучшать? ну там выкинуть нахрен сидения и сделать крепеж по бортам кузова
19:33:54 (00:56:12) (chat)  Kalitvenic: а сколько игра стоит на ПС?
19:33:54 (00:56:13) (chat)  jubi_ju: во славу святого Кодзимы!
19:33:55 (00:56:13) (chat)  Leon_TK: Дальнобойщик, мэр, фермер, доставщик, строить, что еще?
19:33:56 (00:56:14) (chat)  igorexa19: Пометим территорию для лайков
19:34:07 (00:56:25) (chat)  Guarilla: Kreygasm
19:34:09 (00:56:27) (chat)  Vaniaklinov: @kalitvenic 4500
19:34:12 (00:56:30) (chat)  vnikopol: этот грузовик мы отдолжили
19:34:15 (00:56:33) (chat)  sloyka_s_sirom: @ArtGamesLP так а можно?
19:34:16 (00:56:35) (chat)  Tot2D2: Игорь ржёт
19:34:24 (00:56:42) (chat)  igorexa19: @ArtGamesLP Тоесть грузовик ты угнал, а мотоцикл не трогаешь?
19:34:27 (00:56:45) (chat)  jubi_ju: дорогу построил - поссы SMOrc SMOrc
19:34:46 (00:57:04) (chat)  vnikopol: надо мотоцикл в кузов загнать Kappa
19:34:56 (00:57:15) (chat)  wesker33age: Всех кто с Украины Всех с пр
19:35:04 (00:57:23) (chat)  Andjey_Kharkov: Во враждебном лагере много вкусного
19:35:04 (00:57:23) (chat)  sloyka_s_sirom: ну так пошли грабить!
19:35:06 (00:57:25) (chat)  aaarggh: @igorexa19 Так мотик игроков, а грузовик - врахов)))
19:35:09 (00:57:27) (chat)  Kalitvenic: @Vaniaklinov спасибо
19:35:13 (00:57:31) (chat)  anzay_ru: у них металл есть
19:35:15 (00:57:33) (chat)  Noelle666: Привет, Тёма! Привет, чат! KonCha bellHype
19:35:32 (00:57:50) (chat)  Guarilla: нефиговая инфраструктура здесь появляется
19:35:37 (00:57:55) (chat)  Evgeniy_Berdsk: @artgameslp Артемий, чатик artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns
19:35:37 (00:57:55) (chat)  igorexa19: @aaarggh А ну так не интеерсно Kappa в мотике полюбому куча метриала
19:35:45 (00:58:04) (chat)  9_enot_you_not: наши дорогостроители в связке построил дорогу - обоссал почему пропускают пункт "построил дорогу"
19:35:46 (00:58:04) (chat)  vnikopol: еще один мотоцикл
19:35:47 (00:58:06) (chat)  wesker33age: Всех кто с Украины,Всех с Праздником :День украинской письменности и языка
19:35:53 (00:58:12) (chat)  greatday007: !time
19:35:54 (00:58:12) (chat)  Nightbot: Стрим идет уже 58 minutes 24 seconds
19:36:07 (00:58:26) (chat)  1_AkumaShield: O, люди есть
19:36:09 (00:58:27) (chat)  jubi_ju: интересно, у первых игроков вообще ничего не было, просто пустыня? чувствовали ли они себя первопроходцами?)
19:36:11 (00:58:29) (chat)  anzay_ru: Я Сэм!
19:36:17 (00:58:35) (chat)  Vikingvladivostokrus: Помаши им)
19:36:20 (00:58:38) (chat)  ifrit_n12: пацаны реально халявят, по одному чемодану несут
19:36:26 (00:58:45) (chat)  Noelle666: @9_enot_you_not @wesker33age GivePLZ
19:36:34 (00:58:52) (chat)  wesker33age: @noelle666 Доброго и Позитивно-Приятного вечерочка <3 <3 <3 lorian1Hi lorian1Hi lorian1Hi Кусь
19:36:44 (00:59:02) (chat)  9_enot_you_not: @noelle666, x9enotHI x9enotLOVE
19:36:58 (00:59:17) (chat)  mamka_dan: Всем привет! VoHiYo
19:37:02 (00:59:20) (chat)  trom6one: @ArtGamesLP а помнишь там костюмы еще были? может тп до первой базы и посмотреть что они дают?
19:37:09 (00:59:28) (chat)  1_AkumaShield: @jubi_ju наверное да, именно они заложили истоки (маршруты, мосты и т д ) =)
19:37:16 (00:59:34) (chat)  sloyka_s_sirom: @ArtGamesLP похожая система сетевой активности зашла бы в ME Андромеда, строить города и дороги на поверхности и т.д.)
19:37:16 (00:59:34) (chat)  igorexa19: @ArtGamesLP А ты разобрался с тем, что в твоих рядах шпионы под видом курьеров?
19:37:35 (00:59:53) (chat)  Noelle666: @sloyka_s_sirom GivePLZ
19:37:47 (01:00:06) (chat)  sloyka_s_sirom: @Noelle666 TakeNRG
19:37:50 (01:00:08) (chat)  anzay_ru: попутка за 200 металла
19:37:59 (01:00:17) (chat)  9_enot_you_not: будь здоров
19:38:00 (01:00:18) (chat)  Roland_god: Будь здоров.
19:38:01 (01:00:19) (chat)  tamagotchi991: будь
19:38:02 (01:00:20) (chat)  tommywasco: будь
19:38:04 (01:00:22) (chat)  1_AkumaShield: БЗ
19:38:04 (01:00:22) (chat)  kvkcd_II: будь
19:38:07 (01:00:26) (chat)  vnikopol: горячий источник залезь Kappa
19:38:10 (01:00:28) (chat)  jubi_ju: удобно)
19:38:10 (01:00:29) (chat)  Kalitvenic: будь здоров
19:38:14 (01:00:32) (chat)  Nik0_13: будь здоров
19:38:24 (01:00:42) (chat)  wesker33age: @mamka_dan Добра, добра и Позитива <3 <3 <3 Кусь lorian1Hi lorian1Hi lorian1Hi lorian1Hi
19:38:26 (01:00:45) (chat)  polkillo__: Трики тауерс на спине 4Head
19:38:34 (01:00:52) (chat)  vnikopol: о май
19:38:35 (01:00:53) (chat)  jubi_ju: понаставь ему лайков побольше!
19:38:35 (01:00:53) (chat)  gwen_devil: оО лайк поставь
19:38:39 (01:00:57) (chat)  Salvatore_Ursus: artgam2MLG
19:38:39 (01:00:57) (chat)  Tot2D2: LUL LUL LUL
19:38:41 (01:00:59) (chat)  joramora: мыться полезно
19:38:43 (01:01:01) (chat)  mamka_dan: @wesker33age Привет! VoHiYo
19:38:46 (01:01:04) (chat)  trom6one: LUL
19:38:48 (01:01:06) (chat)  inari__senpai: гениально!
19:38:49 (01:01:07) (chat)  vnikopol: да топово
19:38:50 (01:01:09) (chat)  1_AkumaShield: CoolStoryBob CoolStoryBob CoolStoryBob
19:38:56 (01:01:14) (chat)  igorexa19: @ArtGamesLP Ну рядом с озером то понятно, что не ссать, а в озеро?
19:38:56 (01:01:14) (chat)  jubi_ju: Бридж Бэйби одобряэ
19:39:01 (01:01:20) (chat)  sergeykz: епта, сервис artgam2Wtf SMOrc
19:39:01 (01:01:20) (chat)  vosminoska: зачем тебе это ребенок то?
19:39:17 (01:01:35) (chat)  joramora: пописать в ванне, не гениально
19:39:29 (01:01:47) (chat)  sloyka_s_sirom: Зарядке лайков поставь
19:39:36 (01:01:55) (chat)  trom6one: щас угонют
19:39:43 (01:02:01) (chat)  sloyka_s_sirom: @Noelle666 как дела?)
19:40:00 (01:02:19) (chat)  Tot2D2: Только дорогу отстроили, а уже 4 человека заюзали
19:40:01 (01:02:20) (chat)  nafanja1203: nafanja1203 gifted a Tier 1 sub to vnikopol! They have given 93 Gift Subs in the channel! 
19:40:07 (01:02:26) (chat)  Nightbot: На разные суммы доната стоят разные оповещения. АЦКИЕ АЛЕРТЫ на 666 и 6666 рублей. . От 50 до 299, от 300 до 499, от 500 до 799, от 800 до 999, от 1000 до 1299, от 1300 и так далее. https://donatepay.ru/don/artgames
19:40:08 (01:02:27) (chat)  NiteDunmer: artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns
19:40:12 (01:02:31) (chat)  mamka_dan: artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns
19:40:12 (01:02:31) (chat)  jubi_ju: artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns
19:40:15 (01:02:33) (chat)  vnikopol: @nafanja1203 Thanks for the gift sub!
19:40:16 (01:02:35) (chat)  greatday007: artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns
19:40:18 (01:02:36) (chat)  Salvatore_Ursus: artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns
19:40:18 (01:02:36) (chat)  wesker33age: artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns
19:40:25 (01:02:43) (chat)  Kalitvenic: artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns
19:40:29 (01:02:47) (chat)  vnikopol: cпасибо :)
19:40:32 (01:02:50) (chat)  mrsinnerman: ricardoFlick ricardoFlick ricardoFlick ricardoFlick
19:40:32 (01:02:50) (chat)  Shell_tog: sofijoGlorY sofijoGlorY
19:40:33 (01:02:52) (chat)  nafanja1203: @vnikopol Ю а вэлком комрад
19:40:36 (01:02:55) (chat)  Konaken_Skywalker: @artgameslp а зачем нужен крик? тип другие игроки в этом месте услышат тебя у себя в игре?
19:40:44 (01:03:02) (chat)  Luminus_fox: Luminus_fox subscribed at Tier 1. They've subscribed for 23 months! Я маленькая лошадка, но стою очень много денег. И я везу свою большую повозку... bufaLewd Щастичка. Здоровичка
19:40:47 (01:03:05) (chat)  nafanja1203: Новый год будет в ноябре LUL
19:40:52 (01:03:10) (chat)  mamka_dan: artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns
19:40:54 (01:03:12) (chat)  NiteDunmer: artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns
19:40:55 (01:03:14) (chat)  jubi_ju: artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns
19:40:57 (01:03:15) (chat)  greatday007: artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns LUL
19:40:57 (01:03:15) (chat)  nafanja1203: artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns
19:40:58 (01:03:16) (chat)  joramora: скоро 100 будет
19:40:59 (01:03:17) (chat)  tommywasco: у грузовика поворотники включаются при повороте Jebaited
19:41:04 (01:03:22) (chat)  Nightbot: Наш сервер в ДИСКОРДЕ. Присоединяйттесь: https://discordapp.com/invite/999ZDJs
19:41:10 (01:03:28) (chat)  Luminus_fox: Артём! Чат! artgam2AGHeavyHorns evosayNyamka artgam2AGHeavyHorns
19:41:13 (01:03:31) (chat)  Nightbot: @aaarggh -> Sometimes you scare me! [stop spamming symbols] [warning]
19:41:18 (01:03:36) (chat)  mamka_dan: @Luminus_fox Люмка! VoHiYo
19:41:28 (01:03:46) (chat)  Luminus_fox: @mamka_dan artgam2AGHeavyHorns bufaLove
19:41:31 (01:03:49) (chat)  wesker33age: @nafanja1203 Доброго и Позитивно-Приятного вечерочка <3 <3 <3 Кусь lorian1Hi lorian1Hi lorian1Hi lorian1Hi
19:41:42 (01:04:00) (chat)  Luminus_fox: @wesker33age evosayHI bufaLove
19:41:46 (01:04:04) (chat)  Andjey_Kharkov: Нет металла
19:41:47 (01:04:05) (chat)  nafanja1203: @wesker33age Вечерочка <3 <3
19:42:05 (01:04:23) (chat)  Nightbot: Записи стримов на Ютубе тут https://www.youtube.com/channel/UCGxQiNmp179gIJRCs47IRRg
19:42:22 (01:04:41) (chat)  wesker33age: @luminus_fox Доброго и Позитивно-Приятного вечерочка lorian1Hi lorian1Hi lorian1Hi Кусь <3 <3 <3
19:42:32 (01:04:50) (chat)  Andjey_Kharkov: Закинь часть металла, на мост все равно лишь 800 надо,а у тебя вроде больше 1500
19:43:03 (01:05:22) (chat)  Nightbot: Команды для бота в нашем чате: !time !game !youtube !vk !discord !alert
19:43:06 (01:05:24) (chat)  Luminus_fox: @wesker33age И вам evosayNyamka bufaLove
19:43:20 (01:05:38) (chat)  wesker33age: Я сегодня упоролся, могу тупить, за ранние сорри lorian1Cry
19:43:33 (01:05:52) (chat)  Andjey_Kharkov: А с помощью этой фигни строятся дороги или мосты?
19:43:41 (01:06:00) (chat)  jubi_ju: я так понимаю, скоро будет минус ББ, потому что Мадс с ним куда-то из больницы сбегает?.. судя по флешбекам и оружию :0
19:44:02 (01:06:20) (chat)  yarnys: Откуда грузовик?
19:44:46 (01:07:04) (chat)  anzay_ru: по своей полосе едь!
19:45:07 (01:07:26) (chat)  Nightbot: Дорогой зритель, ты можешь поддержать стримера по этой ссылочке, спасибо. https://donatepay.ru/don/artgames Топ донатер в конце месяца может выбрать игру для стрима.
19:45:15 (01:07:34) (chat)  vnikopol: @yarnys отдолжили у конкукурирующей организации
19:46:08 (01:08:27) (chat)  jubi_ju: обоссать не забудь!
19:46:13 (01:08:31) (chat)  Roland_god: PogChamp PogChamp PogChamp PogChamp
19:46:19 (01:08:37) (chat)  Andjey_Kharkov: Пописяй на дорожку
19:46:32 (01:08:50) (chat)  coala_MONSTER: @yarnys не совсем организации, скорее секты
19:46:33 (01:08:51) (chat)  jubi_ju: тогда мост точно обречен Kappa
19:47:04 (01:09:22) (chat)  Kalitvenic: с моста пописай artgam2WatchingU
19:47:20 (01:09:38) (chat)  wesker33age: поёт *Крик подобен грому, Где Клубничный тортик? *
19:47:22 (01:09:41) (chat)  6665556: А как заезжать на этот мост на машине?
19:47:24 (01:09:42) (chat)  Abrams05: @ArtGamesLP Трасса заранне установлена разрабами
19:47:33 (01:09:51) (chat)  anzay_ru: только авторизованным персонам можно строить
19:48:09 (01:10:27) (chat)  jubi_ju: щас опять будет минус машина LUL
19:48:17 (01:10:35) (chat)  tamagotchi991: LUL
19:48:29 (01:10:48) (chat)  Leon_TK: OMEGALUL
19:48:33 (01:10:52) (chat)  jubi_ju: страшна
19:48:35 (01:10:53) (chat)  anzay_ru: узнаю Астронир
19:48:36 (01:10:54) (chat)  CheIIIuP: @ArtGamesLP сюда бы лошадь из скайрима
19:48:37 (01:10:55) (chat)  Andjey_Kharkov: WutFace
19:48:38 (01:10:56) (chat)  trom6one: LUL
19:48:39 (01:10:57) (chat)  jubi_ju: трансформеры!
19:48:51 (01:11:09) (chat)  aaarggh: Ох уж эта миссия из сан Андреас
19:49:06 (01:11:24) (chat)  GlinomesBestygiy: LUL LUL
19:49:17 (01:11:35) (chat)  Luminus_fox: Одно слово - Гений TPFufun
19:49:30 (01:11:49) (chat)  trom6one: зарядку
19:49:38 (01:11:57) (chat)  jubi_ju: Игорь плачет
19:50:07 (01:12:26) (chat)  Nightbot: По моему промокоду ARTGAMES ты получишь бонус до 6500 RUB при первом депозите - http://bit.ly/2Gh0MpU
19:50:26 (01:12:44) (chat)  wesker33age: @artgameslp Персу не тяжело? CorgiDerp
19:50:34 (01:12:52) (chat)  jubi_ju: знает ли Мадс Миккельсон, что его сына уже зовут Игорь? LUL
19:51:17 (01:13:36) (chat)  trom6one: LUL
19:51:29 (01:13:47) (chat)  jubi_ju: "ох эти русские"
19:51:30 (01:13:48) (chat)  dimanish: Всё, я забил в это играть, скукотень, буду посматривать у Тёмы и Артура)
19:51:48 (01:14:06) (chat)  Roland_god: Кристаллы еще.
19:52:03 (01:14:22) (chat)  Luminus_fox: Миккельсон Игорь Мадсович таки странно evosayLOL
19:52:12 (01:14:31) (chat)  anzay_ru: у мулов есть керамика
19:52:14 (01:14:32) (chat)  ifrit_n12: кто грибы успел вырастить?
19:52:18 (01:14:36) (chat)  wesker33age: Иииигааарь, Иииигааарь LUL LUL LUL
19:52:31 (01:14:50) (chat)  jubi_ju: и гражданство у него уже русское, вот это попал, сразу с младенчества да в Россию
19:52:36 (01:14:54) (chat)  dimanish: Вот и наслаждайся Тёма)
19:52:51 (01:15:10) (chat)  MegalodonTallinn: @ArtGamesLP привет)))
19:53:12 (01:15:31) (chat)  9_enot_you_not: да донатил
19:53:16 (01:15:34) (chat)  9_enot_you_not: я помню!
19:53:34 (01:15:52) (chat)  igorexa19: То была слойка с мясом
19:53:39 (01:15:57) (chat)  sloyka_s_sirom: @ArtGamesLP ну вот первый раз *краснеет* Вообще я отправлял доллары, а RUB у меня и нет LUL
19:53:44 (01:16:02) (chat)  9_enot_you_not: он рассказывал, какой он вкусный и горячий \
19:53:54 (01:16:12) (chat)  Kalitvenic: в неё на большом телевизоре или проекторе - будет вообще классно играть...
19:53:54 (01:16:12) (chat)  call_me_dyadya: Чааааааааааааааааааааад привет, @ArtGamesLP привет blobDance KonCha blobDance
19:53:56 (01:16:14) (chat)  Luminus_fox: @sloyka_s_sirom Слоич evosayNyamka evosayNyamka
19:54:05 (01:16:23) (chat)  jubi_ju: @call_me_dyadya x9enotHI x9enotHI
19:54:38 (01:16:56) (chat)  sloyka_s_sirom: @Luminus_fox привет!
19:54:48 (01:17:06) (chat)  Luminus_fox: @call_me_dyadya artgam2AGHeavyHorns
19:54:57 (01:17:15) (chat)  mamka_dan: @call_me_dyadya FutureMan
19:55:23 (01:17:42) (chat)  sloyka_s_sirom: @ArtGamesLP DonatePay странный предмет - отправил баксы, а пришли рубли LUL
19:55:25 (01:17:43) (chat)  trom6one: зарядись
19:55:41 (01:17:59) (chat)  call_me_dyadya: Я пропустил что-нибудь сюжетное?
19:55:46 (01:18:04) (chat)  Vikingvladivostokrus: Отправь какой либо груз роботом
19:56:03 (01:18:21) (chat)  anzay_ru: что-то дождика давно не было
19:56:45 (01:19:04) (chat)  mrPotatoBringer: headBang металл
19:57:07 (01:19:26) (chat)  9_enot_you_not: ф
19:57:09 (01:19:27) (chat)  heavenkot: artgam2AGHeavyHorns металл
19:57:10 (01:19:28) (chat)  call_me_dyadya: Ойой
19:57:12 (01:19:30) (chat)  Luminus_fox: Дарк металл онли
19:57:13 (01:19:32) (chat)  CheIIIuP: лол
19:57:16 (01:19:34) (chat)  tommywasco: CoolStoryBob CoolStoryBob CoolStoryBob
19:57:18 (01:19:37) (chat)  Roland_god: F
19:57:19 (01:19:37) (chat)  vnikopol: F
19:57:22 (01:19:40) (chat)  igorexa19: F FrankerZ
19:57:23 (01:19:41) (chat)  Yuralex: прыгай
19:57:24 (01:19:42) (chat)  Ribchyk: F
19:57:26 (01:19:45) (chat)  trom6one: F ? (
19:57:27 (01:19:45) (chat)  heavenkot: F
19:57:27 (01:19:46) (chat)  Luminus_fox: F
19:57:32 (01:19:50) (chat)  KurokiUmi: Грузимся?
19:57:34 (01:19:53) (chat)  ganelonn: @ArtGamesLP а сюжетка на данном этапе в чем заключается? Постройка трассы?
19:57:35 (01:19:53) (chat)  mrPotatoBringer: дифференциал гений
19:57:35 (01:19:53) (chat)  tamagotchi991: ахаха
19:57:36 (01:19:54) (chat)  dimanish: Вызывай эвакуатор, чо
19:57:39 (01:19:58) (chat)  jubi_ju: река - это наша ахиллесова пята, пора бы запомнить, ну Тёма! NotLikeThis NotLikeThis NotLikeThis NotLikeThis NotLikeThis
19:57:44 (01:20:02) (chat)  trom6one: загрузко
